CollectionID,BranchID,Date,TargetAmount,CollectedAmount
COL00127,B004,2025-06-28 0:00:00,1039677,1047614
COL00128,B003,2023-05-02 0:00:00,2669054,2717046
COL00129,B008,2023-04-04 0:00:00,4898649,4594561
COL00130,B004,2023-07-27 0:00:00,4368062,4768491
COL00131,B008,2023-07-14 0:00:00,2926011,2513678
COL00132,B008,2024-04-01 0:00:00,4912833,4977792
COL00133,B008,2024-04-16 0:00:00,3681234,3518496
COL00134,B004,2025-08-30 0:00:00,2397000,2656288
COL00135,B001,2024-12-28 0:00:00,3181303,3470650
COL00136,B006,2025-12-24 0:00:00,2461730,2590866
COL00137,B006,2023-04-30 0:00:00,4982806,4236323
COL00138,B001,2024-11-29 0:00:00,4466197,4265006
COL00139,B008,2025-06-20 0:00:00,1960800,1508652
COL00140,B002,2024-08-10 0:00:00,1679038,1276532
COL00141,B001,2025-06-02 0:00:00,2283523,1903149
COL00142,B005,2024-06-16 0:00:00,1057617,1042553
COL00143,B004,2024-10-17 0:00:00,4668685,5019015
COL00144,B007,2024-02-06 0:00:00,966796,1033154
COL00145,B004,2024-05-28 0:00:00,4990901,4619078
COL00146,B007,2024-04-05 0:00:00,2210280,2226180
COL00147,B004,2025-01-06 0:00:00,1085636,1214428
COL00148,B005,2024-01-27 0:00:00,1803322,1897525
COL00149,B007,2025-10-28 0:00:00,3273312,3481832
COL00150,B005,2023-05-28 0:00:00,4583987,5135911
COL00151,B001,2025-06-21 0:00:00,1100512,1180503
COL00152,B005,2023-01-25 0:00:00,873151,950022
COL00153,B003,2025-07-15 0:00:00,2403016,2243018
COL00154,B001,2023-12-14 0:00:00,1158310,944543
COL00155,B001,2025-10-29 0:00:00,3901171,3549180
COL00156,B003,2023-07-12 0:00:00,2635271,2084765
COL00157,B004,2024-04-06 0:00:00,2421785,2182393
COL00158,B002,2025-05-25 0:00:00,2200202,2459610
COL00159,B007,2024-03-27 0:00:00,1415917,1518250
COL00160,B003,2024-09-13 0:00:00,4629273,5216823
COL00161,B007,2023-08-05 0:00:00,1702346,1696522
COL00162,B002,2025-08-18 0:00:00,2165497,1812943
COL00163,B002,2023-09-09 0:00:00,1389373,1196462
COL00164,B008,2024-07-20 0:00:00,2224591,2022767
COL00165,B006,2025-06-14 0:00:00,987475,1091334
COL00166,B008,2023-07-07 0:00:00,693875,739076
COL00167,B005,2025-11-21 0:00:00,4291126,4610785
COL00168,B003,2023-01-09 0:00:00,4278012,3888172
COL00169,B007,2024-04-01 0:00:00,1368783,1426910
COL00170,B002,2024-09-11 0:00:00,721284,614521
COL00171,B007,2025-09-29 0:00:00,2804948,2503248
COL00172,B004,2024-07-25 0:00:00,3916282,3468718
COL00173,B008,2025-11-27 0:00:00,4945221,4721752
COL00174,B001,2024-05-19 0:00:00,3963378,4216161
COL00175,B001,2024-06-26 0:00:00,3225020,2677993
COL00176,B004,2025-09-21 0:00:00,4666567,3540065
COL00177,B006,2025-09-03 0:00:00,1802265,1758448
COL00178,B004,2024-10-13 0:00:00,2650104,2014308
COL00179,B004,2023-12-18 0:00:00,2224837,2167803
COL00180,B007,2025-08-12 0:00:00,998592,1132078
COL00181,B003,2023-04-04 0:00:00,919164,1017324
COL00182,B003,2024-11-17 0:00:00,2916327,3204333
COL00183,B003,2023-05-20 0:00:00,4864962,4112884
COL00184,B005,2024-05-26 0:00:00,3350185,3006833
COL00185,B003,2023-02-27 0:00:00,1731128,1540622
COL00186,B001,2025-10-11 0:00:00,904944,896854
COL00187,B005,2025-09-02 0:00:00,3798018,3372465
COL00188,B002,2024-05-29 0:00:00,1720133,1839851
COL00189,B008,2025-03-05 0:00:00,4851413,4764531
COL00190,B002,2023-09-25 0:00:00,519095,489430
COL00191,B002,2025-10-16 0:00:00,2893281,2812315
COL00192,B006,2024-07-12 0:00:00,3658815,3277699
COL00193,B008,2023-10-07 0:00:00,881401,827638
COL00194,B001,2023-09-29 0:00:00,1749374,1902279
COL00195,B001,2023-11-25 0:00:00,2052349,2063826
COL00196,B005,2025-11-15 0:00:00,4941426,5445855
COL00197,B007,2024-12-16 0:00:00,2213402,1996429
COL00198,B004,2024-03-10 0:00:00,4908858,3761068
COL00199,B003,2024-10-03 0:00:00,2067685,1565955
COL00200,B005,2023-12-26 0:00:00,4879129,5311862
COL00201,B005,2024-12-30 0:00:00,4544860,4432760
COL00202,B004,2023-06-23 0:00:00,4548353,4339250
COL00203,B001,2023-06-22 0:00:00,1193696,917158
COL00204,B004,2023-03-21 0:00:00,1862861,1725941
COL00205,B001,2025-09-10 0:00:00,4990953,4179452
COL00206,B007,2024-08-11 0:00:00,1124534,1262166
COL00207,B006,2024-07-25 0:00:00,3925198,4496885
COL00208,B005,2025-06-04 0:00:00,4010736,3373305
COL00209,B006,2025-01-07 0:00:00,691769,779136
COL00210,B001,2024-12-14 0:00:00,1882729,2134267
COL00211,B003,2023-04-21 0:00:00,4776385,4229779
COL00212,B006,2025-04-19 0:00:00,3436206,3785538
COL00213,B001,2024-08-27 0:00:00,3960586,4119453
COL00214,B007,2023-12-29 0:00:00,2925599,2242328
COL00215,B005,2024-06-19 0:00:00,980056,898812
COL00216,B004,2025-12-29 0:00:00,2927330,3071594
COL00217,B008,2025-10-06 0:00:00,3629582,3738924
COL00218,B003,2025-05-03 0:00:00,4149546,3451719
COL00219,B007,2024-09-04 0:00:00,2372014,2098851
COL00220,B005,2025-01-10 0:00:00,977761,1045926
COL00221,B008,2024-09-18 0:00:00,666136,538311
COL00222,B008,2025-12-20 0:00:00,949295,821625
COL00223,B005,2023-05-27 0:00:00,2329811,2082591
COL00224,B003,2025-03-22 0:00:00,1159204,1243685
COL00225,B003,2025-01-09 0:00:00,2262477,2550338
COL00226,B008,2025-09-04 0:00:00,978169,1092836
COL00227,B002,2023-05-27 0:00:00,3127238,2918201
COL00228,B007,2023-10-24 0:00:00,2604461,2394428
COL00229,B006,2025-11-06 0:00:00,1975844,1844020
COL00230,B001,2024-12-18 0:00:00,3912007,2977222
COL00231,B001,2025-08-02 0:00:00,3612950,3629102
COL00232,B001,2025-06-04 0:00:00,3296388,3025015
COL00233,B006,2025-06-23 0:00:00,2743317,3087046
COL00234,B002,2024-04-04 0:00:00,3918402,3925971
COL00235,B001,2023-06-17 0:00:00,2020426,1891583
COL00236,B003,2024-12-22 0:00:00,4251295,4426726
COL00237,B004,2024-07-06 0:00:00,855991,728285
COL00238,B003,2025-12-08 0:00:00,3368195,3038806
COL00239,B004,2025-01-01 0:00:00,2642277,2181411
COL00240,B002,2024-11-14 0:00:00,1330731,1509383
COL00241,B006,2025-02-28 0:00:00,3743155,3488890
COL00242,B003,2025-01-27 0:00:00,1163565,1107118
COL00243,B005,2024-08-17 0:00:00,1850534,1909977
COL00244,B006,2025-09-22 0:00:00,910076,705982
COL00245,B002,2023-10-27 0:00:00,4798172,5107987
COL00246,B008,2024-07-06 0:00:00,4986868,5650018
COL00247,B008,2023-10-12 0:00:00,4744735,4446628
COL00248,B004,2023-07-19 0:00:00,2951726,2715473
COL00249,B006,2025-01-21 0:00:00,4996095,5629027
COL00250,B001,2023-08-17 0:00:00,4050582,3396926
COL00251,B007,2024-11-30 0:00:00,1353866,1548917
COL00252,B007,2024-11-19 0:00:00,3875638,3243411
COL00253,B007,2025-05-26 0:00:00,1327566,1015829
COL00254,B006,2025-10-20 0:00:00,1799361,1754964
COL00255,B007,2024-02-02 0:00:00,2059363,1750647
COL00256,B001,2024-04-26 0:00:00,2463407,2826727
COL00257,B005,2024-07-02 0:00:00,2740523,3073423
COL00258,B002,2024-12-18 0:00:00,1025416,1060491
COL00259,B004,2023-06-11 0:00:00,4441343,3419470
COL00260,B003,2025-11-07 0:00:00,4943597,4908454
COL00261,B008,2024-08-17 0:00:00,3148348,3610035
COL00262,B007,2024-01-08 0:00:00,3584988,3311144
COL00263,B001,2024-02-21 0:00:00,2313769,1812599
COL00264,B004,2025-01-06 0:00:00,3110889,3355528
COL00265,B001,2025-10-11 0:00:00,1028611,1124513
COL00266,B004,2023-02-20 0:00:00,1640696,1590798
COL00267,B004,2025-05-18 0:00:00,4158138,4421072
COL00268,B004,2024-08-27 0:00:00,604662,480774
COL00269,B003,2024-02-06 0:00:00,1059410,1061365
COL00270,B001,2023-07-26 0:00:00,804653,895510
COL00271,B002,2025-11-05 0:00:00,2962179,3334988
COL00272,B003,2023-02-07 0:00:00,1582696,1459649
COL00273,B002,2024-01-31 0:00:00,4949913,4205933
COL00274,B003,2024-08-24 0:00:00,3939043,4227818
COL00275,B006,2023-08-14 0:00:00,4575502,3681354
COL00276,B005,2024-04-02 0:00:00,2051706,2003514
COL00277,B003,2024-12-09 0:00:00,2903474,2660878
COL00278,B002,2025-07-04 0:00:00,4010205,4103046
COL00279,B002,2024-06-15 0:00:00,1639445,1487264
COL00280,B005,2024-01-10 0:00:00,4183643,4557366
COL00281,B003,2023-09-11 0:00:00,743719,717220
COL00282,B001,2024-12-02 0:00:00,3509809,3354803
COL00283,B002,2025-08-22 0:00:00,2121810,1910309
COL00284,B006,2023-11-08 0:00:00,4607465,3951404
COL00285,B003,2025-06-12 0:00:00,1902972,1678087
COL00286,B008,2023-02-05 0:00:00,1220596,1114713
COL00287,B006,2024-06-08 0:00:00,4795273,4718130
COL00288,B003,2025-07-13 0:00:00,1711234,1640328
COL00289,B003,2023-01-25 0:00:00,788621,880221
COL00290,B005,2024-07-26 0:00:00,4862936,4540159
COL00291,B003,2024-07-11 0:00:00,2145801,1972557
COL00292,B008,2023-05-18 0:00:00,4147204,3777612
COL00293,B002,2023-10-19 0:00:00,711008,581374
COL00294,B003,2025-09-02 0:00:00,2113334,1934341
COL00295,B006,2025-07-24 0:00:00,3364516,3035354
COL00296,B003,2025-11-18 0:00:00,2000806,1513484
COL00297,B004,2023-12-26 0:00:00,1054667,1147226
COL00298,B007,2025-03-22 0:00:00,4702421,4104948
COL00299,B002,2023-12-14 0:00:00,849955,816118
COL00300,B004,2025-06-26 0:00:00,659149,708862
COL00301,B005,2025-12-27 0:00:00,2144350,2163102
COL00302,B004,2024-03-20 0:00:00,2922871,2968723
COL00303,B006,2023-06-10 0:00:00,2106173,1684523
COL00304,B006,2024-04-26 0:00:00,3002397,3317241
COL00305,B008,2024-03-25 0:00:00,2681543,2226396
COL00306,B007,2023-08-09 0:00:00,957926,839401
COL00307,B007,2024-08-17 0:00:00,2956687,2728833
COL00308,B008,2025-04-05 0:00:00,2476974,1880047
COL00309,B002,2023-08-17 0:00:00,1310448,1148731
COL00310,B003,2025-12-05 0:00:00,2406587,2668781
COL00311,B005,2025-11-26 0:00:00,2437587,2479919
COL00312,B004,2023-04-30 0:00:00,3434530,3689428
COL00313,B002,2023-12-01 0:00:00,851738,908406
COL00314,B004,2025-11-02 0:00:00,2532527,2804807
COL00315,B001,2024-01-13 0:00:00,4864374,5333878
COL00316,B002,2023-08-03 0:00:00,4472583,3933224
COL00317,B007,2024-10-15 0:00:00,522536,419773
COL00318,B003,2023-12-11 0:00:00,1694885,1512189
COL00319,B006,2024-06-19 0:00:00,3417674,3633355
COL00320,B003,2023-02-25 0:00:00,4383608,4741578
COL00321,B007,2023-07-03 0:00:00,1309556,1096767
COL00322,B007,2024-04-09 0:00:00,1840351,1523176
COL00323,B002,2025-05-30 0:00:00,4752126,5383664
COL00324,B008,2023-10-15 0:00:00,3806313,4264582
COL00325,B004,2023-03-29 0:00:00,4758332,4493286
COL00326,B003,2025-03-06 0:00:00,1299152,1288572
COL00327,B002,2023-05-23 0:00:00,3576757,2812412
COL00328,B008,2023-07-07 0:00:00,3063854,2509645
COL00329,B007,2023-08-09 0:00:00,4140372,3854236
COL00330,B007,2025-12-21 0:00:00,3847066,4096080
COL00331,B004,2023-09-12 0:00:00,4903567,5535962
COL00332,B003,2025-02-01 0:00:00,1508088,1279620
COL00333,B005,2025-09-18 0:00:00,1799872,1474212
COL00334,B008,2025-12-11 0:00:00,3641297,3990364
COL00335,B003,2025-11-09 0:00:00,3869216,4354492
COL00336,B001,2025-11-05 0:00:00,1545988,1510066
COL00337,B007,2025-11-28 0:00:00,4228770,3294687
COL00338,B004,2023-11-05 0:00:00,857813,786896
COL00339,B003,2023-10-17 0:00:00,3933960,4480148
COL00340,B003,2023-05-31 0:00:00,1193265,953453
COL00341,B003,2025-06-08 0:00:00,3345608,3461199
COL00342,B008,2023-01-13 0:00:00,4510790,4864548
COL00343,B001,2025-11-29 0:00:00,3175651,2595397
COL00344,B006,2025-07-02 0:00:00,2993088,3016584
COL00345,B001,2023-11-30 0:00:00,2353632,2620310
COL00346,B002,2025-08-24 0:00:00,627974,567555
COL00347,B006,2024-02-20 0:00:00,1574426,1543546
COL00348,B001,2025-08-20 0:00:00,2588276,1981136
COL00349,B005,2023-12-05 0:00:00,3518384,4023086
COL00350,B005,2023-08-20 0:00:00,1210949,1165711
COL00351,B005,2023-12-22 0:00:00,697509,523958
COL00352,B004,2025-12-22 0:00:00,4662633,3680937
COL00353,B003,2025-02-18 0:00:00,553461,605245
COL00354,B004,2023-12-11 0:00:00,1908327,1675086
COL00355,B005,2023-01-28 0:00:00,1796989,1444499
COL00356,B007,2024-03-11 0:00:00,3769399,3835625
COL00357,B008,2025-06-15 0:00:00,3942893,4090297
COL00358,B006,2023-10-18 0:00:00,1787972,1376634
COL00359,B007,2025-11-19 0:00:00,1065661,1210908
COL00360,B002,2024-07-10 0:00:00,1885595,1756587
COL00361,B006,2023-02-22 0:00:00,2165944,2479770
COL00362,B003,2023-06-07 0:00:00,4403943,4506611
COL00363,B008,2023-08-16 0:00:00,3167983,3371178
COL00364,B007,2025-09-27 0:00:00,2669199,3025785
COL00365,B002,2023-03-03 0:00:00,4667612,4639885
COL00366,B002,2025-10-20 0:00:00,2782957,2602544
COL00367,B004,2024-01-04 0:00:00,4989888,5088119
COL00368,B008,2024-02-26 0:00:00,2980277,2268931
COL00369,B002,2023-12-28 0:00:00,2362884,2124861
COL00370,B008,2023-08-17 0:00:00,2531020,2396637
COL00371,B008,2024-10-11 0:00:00,3113475,3062453
COL00372,B004,2024-04-25 0:00:00,4155327,4391508
COL00373,B001,2025-09-29 0:00:00,1307072,1385099
COL00374,B006,2025-06-30 0:00:00,4054650,3421053
COL00375,B006,2023-03-23 0:00:00,642183,519490
COL00376,B001,2023-07-16 0:00:00,1499629,1646281
COL00377,B006,2024-11-24 0:00:00,2574416,2732610
COL00378,B003,2024-11-03 0:00:00,1724977,1921993
COL00379,B004,2024-11-13 0:00:00,1333152,1321846
COL00380,B004,2023-07-03 0:00:00,3396631,3439565
COL00381,B001,2025-07-19 0:00:00,4578003,5013520
COL00382,B006,2023-08-19 0:00:00,2415868,2532524
COL00383,B007,2024-08-31 0:00:00,1018286,813534
COL00384,B003,2023-07-09 0:00:00,2716209,2713082
COL00385,B008,2023-10-01 0:00:00,4492428,3973749
COL00386,B007,2023-07-29 0:00:00,4857020,3852015
COL00387,B008,2023-10-19 0:00:00,4089946,4337579
COL00388,B001,2024-12-06 0:00:00,2166971,2378141
COL00389,B007,2024-10-05 0:00:00,1375018,1141207
COL00390,B002,2024-01-07 0:00:00,870501,949096
COL00391,B005,2025-02-07 0:00:00,4528132,4847097
COL00392,B003,2023-06-02 0:00:00,2199249,2484405
COL00393,B004,2023-12-09 0:00:00,4219293,4414068
COL00394,B008,2023-07-11 0:00:00,3137500,3325412
COL00395,B002,2024-12-06 0:00:00,2577623,2482761
COL00396,B005,2024-02-02 0:00:00,3611012,3232894
COL00397,B006,2024-07-19 0:00:00,2380868,2233021
COL00398,B008,2025-12-25 0:00:00,1842985,1537388
COL00399,B005,2024-02-07 0:00:00,3245340,3525671
COL00400,B004,2024-11-04 0:00:00,3322261,3376229
COL00401,B006,2024-04-05 0:00:00,1523177,1369054
COL00402,B001,2024-02-10 0:00:00,1587064,1243945
COL00403,B001,2023-02-14 0:00:00,3364801,2897575
COL00404,B006,2023-05-19 0:00:00,1512393,1401113
COL00405,B006,2024-10-05 0:00:00,4137445,3731229
COL00406,B001,2023-10-19 0:00:00,4196927,4326538
COL00407,B006,2023-07-30 0:00:00,2686482,2356873
COL00408,B008,2025-04-17 0:00:00,3619200,2819500
COL00409,B005,2025-02-26 0:00:00,4416519,4514622
COL00410,B002,2023-03-03 0:00:00,900551,1035098
COL00411,B003,2023-06-28 0:00:00,1371811,1192906
COL00412,B004,2025-11-12 0:00:00,1125376,1147139
COL00413,B006,2024-05-14 0:00:00,2577136,2883609
COL00414,B005,2025-04-07 0:00:00,1012667,919484
COL00415,B003,2024-04-17 0:00:00,1654739,1419258
COL00416,B004,2024-12-16 0:00:00,1968333,1765975
COL00417,B008,2025-06-15 0:00:00,4174117,3769127
COL00418,B001,2024-06-14 0:00:00,3852805,3822872
COL00419,B004,2025-02-03 0:00:00,1345652,1038576
COL00420,B005,2025-10-14 0:00:00,4290708,4349682
COL00421,B002,2024-02-04 0:00:00,2129043,1933092
COL00422,B002,2024-01-28 0:00:00,1744122,1818636
COL00423,B008,2023-05-03 0:00:00,4546290,3692744
COL00424,B002,2024-02-17 0:00:00,4719362,4970721
COL00425,B006,2025-10-10 0:00:00,2699846,2242397
COL00426,B008,2024-01-21 0:00:00,3264262,2634398
COL00427,B004,2025-03-13 0:00:00,2706078,2334231
COL00428,B004,2024-02-15 0:00:00,3184212,2559664
COL00429,B002,2024-05-31 0:00:00,4284175,4863007
COL00430,B007,2024-02-19 0:00:00,3597049,4109102
COL00431,B005,2025-05-22 0:00:00,4530035,3957004
COL00432,B005,2024-07-12 0:00:00,2963751,2310331
COL00433,B002,2023-02-06 0:00:00,3880071,3851740
COL00434,B006,2024-09-25 0:00:00,3319418,3001101
COL00435,B006,2023-01-01 0:00:00,3907977,3094659
COL00436,B006,2024-04-16 0:00:00,3892340,3931606
COL00437,B007,2023-12-06 0:00:00,3917779,2943671
COL00438,B003,2025-04-26 0:00:00,2358516,2479805
COL00439,B008,2023-08-27 0:00:00,885450,870157
COL00440,B004,2023-08-24 0:00:00,3729286,3766243
COL00441,B008,2024-08-19 0:00:00,1358323,1050684
COL00442,B008,2023-06-05 0:00:00,3435616,3704887
COL00443,B005,2023-02-05 0:00:00,4887754,4109030
COL00444,B004,2023-02-25 0:00:00,2027948,2217007
COL00445,B001,2023-01-24 0:00:00,3630801,2776400
COL00446,B001,2024-02-22 0:00:00,4611183,4362751
COL00447,B007,2025-08-22 0:00:00,2651074,2811768
COL00448,B005,2025-08-05 0:00:00,708961,559686
COL00449,B002,2024-05-10 0:00:00,3529088,3684209
COL00450,B002,2025-03-27 0:00:00,4330107,4862812
COL00451,B004,2025-01-09 0:00:00,3807183,4292630
COL00452,B001,2024-08-01 0:00:00,530033,478874
COL00453,B004,2024-12-03 0:00:00,2656901,2292443
COL00454,B005,2023-06-18 0:00:00,4051819,3663260
COL00455,B008,2024-11-14 0:00:00,2010537,1847516
COL00456,B006,2025-07-19 0:00:00,1321579,1164225
COL00457,B003,2023-12-04 0:00:00,1538669,1456430
COL00458,B001,2025-08-21 0:00:00,4211072,4338821
COL00459,B007,2025-11-22 0:00:00,2047969,1788763
COL00460,B002,2024-07-16 0:00:00,4939051,5131755
COL00461,B008,2024-01-06 0:00:00,4469288,3601224
COL00462,B008,2023-02-22 0:00:00,2879661,2558328
COL00463,B005,2023-11-16 0:00:00,3118020,2581562
COL00464,B006,2023-08-07 0:00:00,4767290,4467433
COL00465,B006,2023-07-28 0:00:00,1321637,1160800
COL00466,B007,2025-08-14 0:00:00,4040147,4599879
COL00467,B006,2025-03-05 0:00:00,4829516,3922801
COL00468,B006,2023-05-17 0:00:00,1564083,1323213
COL00469,B008,2024-03-05 0:00:00,738216,620112
COL00470,B005,2024-02-16 0:00:00,1668418,1791112
COL00471,B003,2023-07-28 0:00:00,3409904,3222526
COL00472,B006,2025-12-20 0:00:00,2462830,2301315
COL00473,B007,2023-08-15 0:00:00,2162469,2091671
COL00474,B002,2025-11-03 0:00:00,3338055,2812060
COL00475,B008,2025-05-30 0:00:00,3186009,2511593
COL00476,B006,2023-09-11 0:00:00,3198607,2963166
COL00477,B004,2025-04-14 0:00:00,3950782,4527217
COL00478,B003,2023-09-12 0:00:00,900587,853085
COL00479,B004,2025-10-30 0:00:00,4445380,4803720
COL00480,B008,2023-08-24 0:00:00,2405433,2105835
COL00481,B001,2025-02-08 0:00:00,4834690,4138769
COL00482,B005,2023-12-23 0:00:00,1777909,1727097
COL00483,B008,2023-07-27 0:00:00,2387266,2174829
COL00484,B003,2024-10-15 0:00:00,1320194,1105356
