LoanID,CustomerID,BranchID,Product,DisbursementDate,DisbursedAmount,OutstandingBalance,InterestRate,EMI,DelinquentDays,NPAFlag
L000092,C00971,B001,Business Loan,2025-12-26 0:00:00,2861175,2193423,10.72,72615,129,Yes
L000093,C00453,B005,Auto Loan,2023-01-06 0:00:00,5163312,1531732,8.57,29050,120,Yes
L000094,C02056,B008,Personal Loan,2025-01-28 0:00:00,7912483,7793119,11.05,16136,69,No
L000095,C01098,B004,Personal Loan,2025-02-11 0:00:00,7252879,5260364,8.06,12492,135,Yes
L000096,C00624,B008,Personal Loan,2023-07-27 0:00:00,3153061,2544582,16.45,43574,87,No
L000097,C02189,B004,Business Loan,2024-12-17 0:00:00,5325835,3649760,12.48,106670,29,No
L000098,C02476,B008,Auto Loan,2024-11-22 0:00:00,1962143,1314544,14.07,29862,125,Yes
L000099,C01032,B001,Personal Loan,2025-02-17 0:00:00,317877,150937,9.47,62186,32,No
L000100,C00464,B006,Home Loan,2023-05-20 0:00:00,621851,393775,15.22,23869,139,Yes
L000101,C00744,B004,Personal Loan,2023-03-20 0:00:00,3657889,1001459,12.59,119434,12,No
L000102,C00613,B003,Home Loan,2024-02-01 0:00:00,1047371,821450,9.8,99979,99,Yes
L000103,C00677,B002,Home Loan,2025-11-08 0:00:00,6603101,5062818,9.89,91029,147,Yes
L000104,C01796,B002,Home Loan,2023-12-09 0:00:00,422183,277010,9.84,102675,78,No
L000105,C02872,B005,Business Loan,2024-06-16 0:00:00,1153215,841448,9.75,32213,31,No
L000106,C00326,B008,Personal Loan,2023-12-25 0:00:00,3445640,1340289,16.05,73535,13,No
L000107,C00212,B006,Auto Loan,2024-05-22 0:00:00,561601,133544,10.59,56053,111,Yes
L000108,C00423,B005,Home Loan,2023-05-12 0:00:00,8484387,6317499,12.9,57963,69,No
L000109,C01973,B007,Home Loan,2023-08-23 0:00:00,9578023,2328563,7.31,41408,119,Yes
L000110,C01659,B006,Business Loan,2024-03-12 0:00:00,6373742,5701338,14.47,82552,69,No
L000111,C02656,B003,Home Loan,2023-05-30 0:00:00,2555893,992173,13.43,26809,122,Yes
L000112,C00562,B001,Home Loan,2023-07-23 0:00:00,9709784,7777939,8.52,13771,65,No
L000113,C02871,B007,Business Loan,2025-10-25 0:00:00,1771881,771400,15.37,62106,150,Yes
L000114,C01532,B002,Auto Loan,2024-01-14 0:00:00,292864,289119,9.41,51917,68,No
L000115,C01649,B002,Business Loan,2025-03-05 0:00:00,1888566,1602678,17.05,74864,122,Yes
L000116,C01781,B006,Auto Loan,2023-06-02 0:00:00,6905423,5757523,15.67,28246,87,No
L000117,C01597,B003,Auto Loan,2023-11-05 0:00:00,5370236,3248198,11.56,17386,27,No
L000118,C00171,B007,Business Loan,2023-06-04 0:00:00,6012294,1938315,13.74,100227,78,No
L000119,C01017,B001,Business Loan,2023-11-21 0:00:00,7429684,6413617,10.63,35737,129,Yes
L000120,C02433,B006,Business Loan,2024-04-08 0:00:00,5495769,2870481,15.56,10711,117,Yes
L000121,C01651,B005,Business Loan,2024-11-11 0:00:00,4531029,3891030,8.77,14612,32,No
L000122,C00679,B006,Home Loan,2023-05-13 0:00:00,4173332,2827558,13.23,111480,72,No
L000123,C02044,B003,Auto Loan,2023-12-02 0:00:00,1701564,1291995,11.36,71279,128,Yes
L000124,C02799,B007,Business Loan,2024-12-01 0:00:00,4369419,3830875,7.26,21781,31,No
L000125,C01656,B003,Business Loan,2023-09-05 0:00:00,9805462,8109445,16.95,45638,58,No
L000126,C00330,B004,Personal Loan,2024-03-25 0:00:00,4829102,1488608,7.03,12073,18,No
L000127,C00024,B004,Personal Loan,2024-08-11 0:00:00,9509399,7512440,17.76,87007,12,No
L000128,C02092,B006,Home Loan,2024-04-22 0:00:00,4969108,1123090,13.59,53617,60,No
L000129,C02653,B004,Personal Loan,2025-04-01 0:00:00,498737,427724,16.53,90194,48,No
L000130,C02179,B003,Home Loan,2025-10-04 0:00:00,6262304,5621336,9.05,116060,148,Yes
L000131,C01636,B001,Personal Loan,2024-02-03 0:00:00,426113,267275,12.18,7169,93,Yes
L000132,C00592,B008,Home Loan,2023-08-08 0:00:00,666816,262839,13.46,31447,146,Yes
L000133,C01576,B008,Business Loan,2025-01-21 0:00:00,6745641,1490932,14.52,31357,120,Yes
L000134,C00019,B002,Home Loan,2025-07-16 0:00:00,6872353,6072277,7.83,18178,72,No
L000135,C02173,B008,Personal Loan,2023-04-09 0:00:00,9555295,4080267,17.12,96800,133,Yes
L000136,C01005,B001,Business Loan,2023-10-06 0:00:00,6288932,5205774,8.43,117233,78,No
L000137,C02594,B002,Personal Loan,2024-06-23 0:00:00,2331346,936823,13.68,89918,112,Yes
L000138,C01040,B008,Home Loan,2024-12-07 0:00:00,487243,305101,10.75,18984,97,Yes
L000139,C02230,B004,Home Loan,2024-07-19 0:00:00,9925586,9606039,11.36,85515,63,No
L000140,C00648,B001,Personal Loan,2023-04-03 0:00:00,7945564,7274241,17.38,94523,100,Yes
L000141,C01388,B007,Auto Loan,2025-01-21 0:00:00,4269395,4236248,9.03,33275,23,No
L000142,C00903,B005,Home Loan,2025-09-13 0:00:00,7861553,3988834,12.73,51234,4,No
L000143,C00590,B002,Personal Loan,2023-04-03 0:00:00,4561465,3368421,10.17,38329,148,Yes
L000144,C01554,B005,Personal Loan,2023-07-19 0:00:00,3215694,2126201,13.69,85039,116,Yes
L000145,C00936,B003,Auto Loan,2023-03-12 0:00:00,2162260,2150117,13.3,84263,85,No
L000146,C01524,B004,Personal Loan,2024-11-11 0:00:00,7702273,4883290,14.58,99231,2,No
L000147,C02889,B004,Auto Loan,2023-09-02 0:00:00,6504614,2632982,16.92,46086,69,No
L000148,C01190,B005,Business Loan,2023-06-22 0:00:00,5922845,3167720,11.61,6705,131,Yes
L000149,C01630,B002,Personal Loan,2024-01-12 0:00:00,7722471,4076865,10.55,48047,50,No
L000150,C01481,B008,Business Loan,2025-09-09 0:00:00,6329907,5753923,15.49,111364,6,No
L000151,C00872,B007,Home Loan,2025-09-09 0:00:00,484428,148636,7.75,37732,141,Yes
L000152,C02582,B001,Auto Loan,2025-04-11 0:00:00,4969001,1487723,7.42,52758,135,Yes
L000153,C01178,B006,Home Loan,2023-03-19 0:00:00,6158392,4901160,9.37,67316,86,No
L000154,C01610,B007,Home Loan,2023-06-30 0:00:00,6113504,5478684,15.33,66204,103,Yes
L000155,C01464,B002,Business Loan,2025-04-05 0:00:00,4997605,2521083,15.61,61379,42,No
L000156,C00705,B001,Home Loan,2023-05-25 0:00:00,6183613,5489099,16.65,10345,98,Yes
L000157,C00539,B002,Auto Loan,2025-09-02 0:00:00,3624431,1896677,7.75,27297,145,Yes
L000158,C00514,B004,Business Loan,2023-02-24 0:00:00,9031243,6919700,10.85,37081,0,No
L000159,C00591,B004,Auto Loan,2023-05-01 0:00:00,1588331,769071,10.78,101369,32,No
L000160,C02395,B004,Auto Loan,2025-11-05 0:00:00,3394584,1015070,8.93,42147,75,No
L000161,C00354,B004,Home Loan,2023-09-03 0:00:00,4250129,2684660,17.78,117346,70,No
L000162,C00759,B006,Home Loan,2024-09-14 0:00:00,5392711,2328509,16.26,71280,4,No
L000163,C02403,B004,Personal Loan,2025-03-21 0:00:00,8476196,2859391,12.38,13648,27,No
L000164,C00611,B004,Home Loan,2025-10-17 0:00:00,7962797,3902637,10.15,104442,111,Yes
L000165,C00556,B007,Auto Loan,2025-06-30 0:00:00,9174376,5038183,13.42,116205,137,Yes
L000166,C00131,B007,Home Loan,2023-10-28 0:00:00,4465284,2041323,9.91,86855,83,No
L000167,C00014,B005,Home Loan,2025-05-12 0:00:00,4845498,3726614,8.41,106740,7,No
L000168,C00140,B005,Business Loan,2023-03-24 0:00:00,5110029,4078328,15.79,119780,118,Yes
L000169,C02452,B001,Auto Loan,2025-10-23 0:00:00,2668934,2311664,8.05,13632,35,No
L000170,C00539,B005,Personal Loan,2025-03-01 0:00:00,5045703,2980658,17.34,68229,110,Yes
L000171,C02603,B007,Personal Loan,2024-07-05 0:00:00,1635563,907819,14.85,16366,40,No
L000172,C02981,B002,Home Loan,2024-04-07 0:00:00,7309083,3626738,15.6,27892,92,Yes
L000173,C02031,B003,Personal Loan,2025-05-04 0:00:00,8796960,5892729,17.08,74648,141,Yes
L000174,C01973,B007,Personal Loan,2023-12-08 0:00:00,2092740,2031581,13.29,101258,39,No
L000175,C02882,B006,Home Loan,2025-03-02 0:00:00,9609308,6509124,7.57,76911,54,No
L000176,C01423,B004,Personal Loan,2025-09-09 0:00:00,9658370,3692006,16.41,58844,42,No
L000177,C02308,B003,Personal Loan,2023-06-22 0:00:00,4761860,3309265,9.83,109376,65,No
L000178,C00854,B008,Auto Loan,2024-07-01 0:00:00,9172603,7718072,7.57,49905,13,No
L000179,C02769,B001,Business Loan,2025-04-07 0:00:00,1687740,1318473,9.86,84539,129,Yes
L000180,C00100,B002,Business Loan,2024-05-30 0:00:00,1351248,975831,7.95,112808,71,No
L000181,C01327,B008,Business Loan,2025-01-29 0:00:00,8477515,4127649,9.78,15908,63,No
L000182,C02276,B001,Auto Loan,2025-05-10 0:00:00,8449207,6921517,11.54,113839,123,Yes
L000183,C01046,B005,Personal Loan,2024-03-06 0:00:00,205166,192898,10.23,56743,19,No
L000184,C02950,B001,Personal Loan,2025-04-24 0:00:00,3123444,1118796,7.83,43302,81,No
L000185,C00546,B006,Auto Loan,2024-05-07 0:00:00,4598618,1952940,14.83,87376,54,No
L000186,C02809,B008,Auto Loan,2025-11-21 0:00:00,1708122,519498,16.75,50195,109,Yes
L000187,C00311,B001,Business Loan,2023-07-08 0:00:00,1850657,1211241,9.13,59723,36,No
L000188,C02364,B003,Personal Loan,2024-07-18 0:00:00,8188494,7280300,9.35,35046,125,Yes
L000189,C02681,B006,Auto Loan,2025-10-12 0:00:00,8708185,8094550,17.01,102835,32,No
L000190,C01082,B008,Home Loan,2024-09-03 0:00:00,5240510,1528420,15.74,96872,82,No
L000191,C00777,B008,Auto Loan,2023-08-20 0:00:00,8873496,5758416,8.43,91914,88,No
L000192,C01389,B005,Auto Loan,2024-02-17 0:00:00,1236293,1174450,15.09,56967,21,No
L000193,C01936,B006,Business Loan,2023-11-21 0:00:00,2083039,1097204,9.25,6221,130,Yes
L000194,C02308,B005,Auto Loan,2023-01-15 0:00:00,6382485,3930090,13.02,31658,7,No
L000195,C00273,B005,Home Loan,2024-03-27 0:00:00,8301723,4358418,10.48,115243,123,Yes
L000196,C00184,B001,Home Loan,2024-10-19 0:00:00,2000137,1296418,11.51,103319,52,No
L000197,C01168,B003,Personal Loan,2025-02-15 0:00:00,8355261,7283201,16.35,55644,34,No
L000198,C01711,B004,Auto Loan,2025-07-22 0:00:00,2898384,2006520,8.73,4341,130,Yes
L000199,C00409,B006,Auto Loan,2023-12-04 0:00:00,7840218,5289598,7.52,13623,70,No
L000200,C01652,B005,Personal Loan,2025-08-20 0:00:00,9466248,4465366,11.68,55607,48,No
L000201,C01636,B006,Home Loan,2025-10-14 0:00:00,3252873,2653310,12.81,116607,53,No
L000202,C01625,B008,Personal Loan,2023-11-28 0:00:00,5493980,1154103,16.55,62979,118,Yes
L000203,C02139,B008,Personal Loan,2023-05-07 0:00:00,2638237,2370467,11.32,59401,109,Yes
L000204,C00103,B005,Personal Loan,2023-05-16 0:00:00,5247122,4408016,12.25,76292,106,Yes
L000205,C02332,B004,Business Loan,2024-03-22 0:00:00,9922904,2008039,17.65,66460,145,Yes
L000206,C00886,B007,Auto Loan,2024-10-03 0:00:00,8439454,7971695,7.91,3209,39,No
L000207,C02187,B005,Business Loan,2024-03-13 0:00:00,5915178,5802046,9.31,80347,139,Yes
L000208,C00812,B002,Personal Loan,2025-05-17 0:00:00,1240091,1032427,11.23,18650,23,No
L000209,C02871,B004,Auto Loan,2024-12-02 0:00:00,6213238,3816778,13.74,40864,143,Yes
L000210,C02923,B002,Business Loan,2025-01-31 0:00:00,8021366,5858062,15.24,23715,33,No
L000211,C00310,B005,Personal Loan,2023-08-19 0:00:00,740212,357234,15.24,13728,80,No
L000212,C02907,B003,Auto Loan,2025-08-04 0:00:00,6302825,5281057,16.3,23844,70,No
L000213,C00812,B003,Auto Loan,2025-01-28 0:00:00,5196933,2321006,15.29,101324,146,Yes
L000214,C02874,B007,Business Loan,2023-04-14 0:00:00,1837133,446971,17.1,19760,143,Yes
L000215,C02515,B008,Personal Loan,2024-08-28 0:00:00,6537224,5695893,9.37,17212,34,No
L000216,C01671,B005,Business Loan,2024-01-19 0:00:00,1414918,1096407,16.52,99766,98,Yes
L000217,C00922,B001,Personal Loan,2023-06-04 0:00:00,6689227,4094980,11.52,12734,48,No
L000218,C02909,B005,Auto Loan,2025-09-17 0:00:00,5638637,1979920,17.59,84685,86,No
L000219,C00684,B001,Personal Loan,2023-12-07 0:00:00,5058515,4137526,16.94,58087,65,No
L000220,C01163,B002,Auto Loan,2023-07-07 0:00:00,8724170,8163039,13.38,63189,92,Yes
L000221,C01461,B001,Business Loan,2024-04-19 0:00:00,3699569,834284,15.48,66898,106,Yes
L000222,C01689,B002,Business Loan,2025-04-28 0:00:00,844367,512974,9.87,35601,100,Yes
L000223,C00743,B004,Auto Loan,2025-04-17 0:00:00,2800014,1646962,14.21,76156,51,No
L000224,C00116,B008,Home Loan,2025-03-27 0:00:00,968892,453424,13.82,84843,141,Yes
L000225,C01361,B005,Home Loan,2023-11-19 0:00:00,1629860,1073842,17.94,6311,122,Yes
L000226,C00925,B001,Personal Loan,2024-10-29 0:00:00,421464,180243,9.45,99731,81,No
L000227,C01949,B006,Business Loan,2025-08-06 0:00:00,2977251,2071381,14.68,58058,70,No
L000228,C02354,B006,Home Loan,2025-03-30 0:00:00,7097345,2574848,12.05,73268,35,No
L000229,C02631,B002,Business Loan,2025-10-10 0:00:00,682107,403600,16.53,94060,106,Yes
L000230,C00833,B005,Personal Loan,2023-04-29 0:00:00,2649881,2218498,13.97,21953,79,No
L000231,C02375,B006,Business Loan,2024-01-12 0:00:00,4531900,4384429,12.65,15895,50,No
L000232,C00923,B004,Home Loan,2025-10-07 0:00:00,5450037,4693299,17.97,113256,130,Yes
L000233,C00800,B001,Home Loan,2024-02-07 0:00:00,6531014,4296964,10.69,89014,97,Yes
L000234,C01900,B005,Personal Loan,2025-01-21 0:00:00,2642901,777558,7.6,55482,92,Yes
L000235,C01438,B007,Business Loan,2023-10-19 0:00:00,5674442,2673155,13.95,79720,13,No
L000236,C02238,B003,Business Loan,2025-10-07 0:00:00,3275105,1874027,16.18,63595,107,Yes
L000237,C00294,B005,Auto Loan,2023-04-11 0:00:00,857037,420351,16.46,91189,55,No
L000238,C00085,B002,Auto Loan,2023-01-05 0:00:00,1304184,932942,8.89,53536,8,No
L000239,C02261,B001,Auto Loan,2025-11-27 0:00:00,1672250,857773,18,89317,135,Yes
L000240,C02124,B002,Business Loan,2024-03-22 0:00:00,5062763,1574941,17.81,94498,56,No
L000241,C02495,B006,Business Loan,2023-01-19 0:00:00,9085259,2301086,7.66,26845,82,No
L000242,C00959,B001,Business Loan,2024-05-29 0:00:00,1171436,1068312,7.04,98365,48,No
L000243,C01576,B004,Home Loan,2024-05-18 0:00:00,4362608,3679894,10.54,64691,33,No
L000244,C00436,B004,Auto Loan,2024-05-27 0:00:00,1364509,1334454,8.19,114102,41,No
L000245,C00646,B007,Personal Loan,2025-06-16 0:00:00,6307375,3339074,8.79,86296,149,Yes
L000246,C01715,B003,Personal Loan,2025-05-20 0:00:00,6817973,5899074,7.56,21699,125,Yes
L000247,C00175,B001,Business Loan,2023-12-22 0:00:00,2157482,2041774,12.69,92855,88,No
L000248,C01117,B006,Business Loan,2025-06-30 0:00:00,835849,718949,14.37,66894,75,No
L000249,C00396,B001,Business Loan,2023-08-18 0:00:00,4794480,4107123,17,77941,131,Yes
L000250,C00301,B003,Business Loan,2025-11-01 0:00:00,3649716,2923355,8.18,107245,129,Yes
L000251,C00651,B001,Home Loan,2024-10-20 0:00:00,7826455,7630762,12.63,118062,92,Yes
L000252,C01007,B006,Auto Loan,2024-06-06 0:00:00,8291635,4374532,14.22,76286,7,No
L000253,C02858,B002,Personal Loan,2024-02-27 0:00:00,6951440,3057396,12.08,99599,99,Yes
L000254,C01327,B004,Auto Loan,2023-11-22 0:00:00,849589,581142,9.67,6240,146,Yes
L000255,C02430,B004,Auto Loan,2023-07-11 0:00:00,8466029,5328498,17.42,80995,64,No
L000256,C01572,B003,Business Loan,2024-10-03 0:00:00,6837398,4567396,10.46,33578,15,No
L000257,C02240,B005,Home Loan,2024-05-15 0:00:00,8035105,2357132,9.11,86074,32,No
L000258,C00670,B007,Home Loan,2023-08-26 0:00:00,2558437,745574,10.27,116708,129,Yes
L000259,C02091,B007,Personal Loan,2023-02-12 0:00:00,4157043,2811460,7.31,20615,88,No
L000260,C01950,B005,Home Loan,2024-05-29 0:00:00,1494544,603958,16,6441,104,Yes
L000261,C02191,B004,Home Loan,2024-09-21 0:00:00,1713092,1302983,16.55,61122,54,No
L000262,C00816,B001,Auto Loan,2024-11-23 0:00:00,2870181,2062096,12.67,44749,139,Yes
L000263,C01454,B002,Personal Loan,2023-06-29 0:00:00,7386932,6538298,15.68,79099,148,Yes
L000264,C02167,B008,Personal Loan,2023-01-07 0:00:00,7302182,3406224,17.93,118923,127,Yes
L000265,C01282,B006,Business Loan,2023-07-14 0:00:00,9050527,8525043,16.44,91835,150,Yes
L000266,C01734,B001,Home Loan,2024-10-02 0:00:00,6589033,4716680,16.49,49484,17,No
L000267,C02261,B008,Business Loan,2023-04-24 0:00:00,4263631,3146558,14.37,87419,146,Yes
L000268,C01700,B004,Home Loan,2024-09-29 0:00:00,4634650,3012892,15.18,69368,2,No
L000269,C00617,B001,Personal Loan,2023-11-24 0:00:00,4288306,3710388,9.91,103431,81,No
L000270,C02317,B003,Auto Loan,2024-12-28 0:00:00,8281288,3256530,10.3,40269,141,Yes
L000271,C01282,B003,Auto Loan,2024-02-16 0:00:00,8495939,3252939,16.66,7981,22,No
L000272,C02556,B001,Personal Loan,2025-10-29 0:00:00,6891670,3366929,15.39,33708,44,No
L000273,C02922,B002,Home Loan,2024-07-31 0:00:00,4693748,1381533,16.12,21449,55,No
L000274,C00817,B004,Business Loan,2024-06-24 0:00:00,6490477,2185421,8.75,99444,15,No
L000275,C02591,B004,Home Loan,2023-12-17 0:00:00,6293790,2160498,8.24,100414,134,Yes
L000276,C02995,B007,Home Loan,2025-06-03 0:00:00,1949717,1761946,8.8,80414,75,No
L000277,C02202,B005,Personal Loan,2023-02-06 0:00:00,6517153,5833201,8.94,14334,30,No
