CustomerID,CustomerName,AgeGroup,Gender,Occupation,IncomeBand,RiskScore
C00147,Customer 147,50+,Female,Business,10L-20L,657
C00148,Customer 148,36-50,Male,Professional,10L-20L,563
C00149,Customer 149,26-35,Female,Business,>20L,589
C00150,Customer 150,26-35,Female,Retired,<5L,885
C00151,Customer 151,26-35,Female,Business,5L-10L,329
C00152,Customer 152,36-50,Male,Retired,>20L,815
C00153,Customer 153,18-25,Female,Professional,>20L,321
C00154,Customer 154,50+,Female,Business,10L-20L,575
C00155,Customer 155,36-50,Female,Retired,10L-20L,463
C00156,Customer 156,50+,Female,Salaried,>20L,334
C00157,Customer 157,18-25,Female,Professional,5L-10L,485
C00158,Customer 158,50+,Female,Business,5L-10L,663
C00159,Customer 159,26-35,Female,Business,10L-20L,346
C00160,Customer 160,36-50,Male,Professional,10L-20L,836
C00161,Customer 161,36-50,Male,Business,10L-20L,846
C00162,Customer 162,26-35,Male,Professional,<5L,750
C00163,Customer 163,36-50,Female,Salaried,<5L,385
C00164,Customer 164,18-25,Male,Salaried,<5L,900
C00165,Customer 165,18-25,Female,Salaried,10L-20L,372
C00166,Customer 166,50+,Female,Retired,10L-20L,591
C00167,Customer 167,36-50,Female,Retired,<5L,816
C00168,Customer 168,26-35,Female,Salaried,5L-10L,794
C00169,Customer 169,36-50,Female,Business,10L-20L,885
C00170,Customer 170,18-25,Male,Retired,>20L,464
C00171,Customer 171,26-35,Male,Professional,<5L,824
C00172,Customer 172,50+,Female,Professional,<5L,760
C00173,Customer 173,36-50,Female,Business,>20L,321
C00174,Customer 174,18-25,Male,Business,>20L,510
C00175,Customer 175,36-50,Male,Business,10L-20L,900
C00176,Customer 176,26-35,Female,Business,10L-20L,760
C00177,Customer 177,36-50,Female,Retired,5L-10L,778
C00178,Customer 178,36-50,Male,Retired,5L-10L,862
C00179,Customer 179,18-25,Female,Retired,<5L,483
C00180,Customer 180,26-35,Female,Business,<5L,729
C00181,Customer 181,18-25,Female,Retired,5L-10L,378
C00182,Customer 182,26-35,Male,Professional,>20L,487
C00183,Customer 183,26-35,Male,Salaried,<5L,349
C00184,Customer 184,50+,Male,Professional,>20L,315
C00185,Customer 185,36-50,Male,Business,>20L,593
C00186,Customer 186,50+,Male,Salaried,5L-10L,896
C00187,Customer 187,36-50,Female,Retired,<5L,720
C00188,Customer 188,50+,Female,Retired,10L-20L,818
C00189,Customer 189,36-50,Female,Salaried,<5L,440
C00190,Customer 190,36-50,Female,Salaried,<5L,352
C00191,Customer 191,50+,Male,Business,>20L,449
C00192,Customer 192,36-50,Female,Salaried,5L-10L,391
C00193,Customer 193,50+,Male,Business,>20L,457
C00194,Customer 194,26-35,Female,Salaried,10L-20L,656
C00195,Customer 195,50+,Male,Business,<5L,340
C00196,Customer 196,50+,Male,Retired,>20L,725
C00197,Customer 197,18-25,Male,Business,>20L,385
C00198,Customer 198,18-25,Male,Business,<5L,540
C00199,Customer 199,18-25,Female,Professional,10L-20L,595
C00200,Customer 200,36-50,Male,Business,5L-10L,654
C00201,Customer 201,50+,Male,Business,5L-10L,487
C00202,Customer 202,36-50,Male,Professional,<5L,835
C00203,Customer 203,36-50,Female,Retired,5L-10L,870
C00204,Customer 204,26-35,Female,Salaried,<5L,455
C00205,Customer 205,36-50,Male,Professional,<5L,722
C00206,Customer 206,18-25,Female,Retired,5L-10L,389
C00207,Customer 207,36-50,Female,Professional,5L-10L,872
C00208,Customer 208,18-25,Female,Business,10L-20L,480
C00209,Customer 209,18-25,Male,Salaried,>20L,781
C00210,Customer 210,36-50,Female,Salaried,>20L,778
C00211,Customer 211,50+,Female,Retired,10L-20L,713
C00212,Customer 212,26-35,Male,Business,10L-20L,414
C00213,Customer 213,36-50,Female,Business,>20L,461
C00214,Customer 214,50+,Female,Business,10L-20L,496
C00215,Customer 215,50+,Male,Retired,>20L,817
C00216,Customer 216,18-25,Female,Salaried,10L-20L,349
C00217,Customer 217,50+,Male,Business,5L-10L,502
C00218,Customer 218,50+,Male,Professional,>20L,626
C00219,Customer 219,36-50,Female,Salaried,10L-20L,732
C00220,Customer 220,50+,Female,Retired,10L-20L,541
C00221,Customer 221,26-35,Male,Business,<5L,335
C00222,Customer 222,50+,Female,Salaried,>20L,582
C00223,Customer 223,26-35,Male,Professional,>20L,886
C00224,Customer 224,36-50,Male,Business,5L-10L,517
C00225,Customer 225,18-25,Female,Retired,<5L,797
C00226,Customer 226,50+,Female,Professional,>20L,597
C00227,Customer 227,26-35,Male,Salaried,5L-10L,342
C00228,Customer 228,26-35,Male,Professional,<5L,478
C00229,Customer 229,36-50,Male,Retired,<5L,558
C00230,Customer 230,18-25,Male,Salaried,10L-20L,830
C00231,Customer 231,18-25,Male,Professional,>20L,348
C00232,Customer 232,26-35,Female,Business,>20L,318
C00233,Customer 233,50+,Female,Professional,>20L,611
C00234,Customer 234,26-35,Male,Salaried,5L-10L,848
C00235,Customer 235,36-50,Female,Salaried,<5L,495
C00236,Customer 236,36-50,Female,Retired,>20L,426
C00237,Customer 237,36-50,Female,Professional,10L-20L,548
C00238,Customer 238,36-50,Female,Retired,>20L,401
C00239,Customer 239,50+,Male,Professional,5L-10L,664
C00240,Customer 240,18-25,Female,Business,10L-20L,838
C00241,Customer 241,36-50,Male,Business,5L-10L,675
C00242,Customer 242,18-25,Male,Salaried,5L-10L,504
C00243,Customer 243,50+,Female,Retired,>20L,690
C00244,Customer 244,18-25,Female,Professional,10L-20L,719
C00245,Customer 245,50+,Male,Professional,<5L,568
C00246,Customer 246,26-35,Male,Professional,>20L,815
C00247,Customer 247,26-35,Female,Retired,5L-10L,771
C00248,Customer 248,18-25,Male,Professional,5L-10L,738
C00249,Customer 249,18-25,Female,Business,<5L,878
C00250,Customer 250,50+,Male,Salaried,5L-10L,576
C00251,Customer 251,36-50,Male,Salaried,5L-10L,342
C00252,Customer 252,26-35,Male,Business,<5L,348
C00253,Customer 253,18-25,Female,Business,10L-20L,510
C00254,Customer 254,36-50,Female,Retired,5L-10L,638
C00255,Customer 255,36-50,Male,Business,>20L,780
C00256,Customer 256,36-50,Female,Retired,>20L,414
C00257,Customer 257,50+,Male,Business,<5L,676
C00258,Customer 258,18-25,Male,Salaried,<5L,581
C00259,Customer 259,36-50,Male,Retired,<5L,786
C00260,Customer 260,50+,Female,Professional,5L-10L,527
C00261,Customer 261,26-35,Male,Salaried,5L-10L,325
C00262,Customer 262,26-35,Female,Professional,10L-20L,301
C00263,Customer 263,36-50,Female,Business,5L-10L,483
C00264,Customer 264,26-35,Male,Retired,<5L,748
C00265,Customer 265,26-35,Male,Retired,<5L,704
C00266,Customer 266,26-35,Male,Retired,<5L,714
C00267,Customer 267,18-25,Female,Retired,10L-20L,660
C00268,Customer 268,26-35,Female,Retired,<5L,461
C00269,Customer 269,18-25,Female,Retired,10L-20L,441
C00270,Customer 270,26-35,Female,Business,<5L,877
C00271,Customer 271,50+,Female,Salaried,5L-10L,797
C00272,Customer 272,26-35,Male,Professional,>20L,601
C00273,Customer 273,26-35,Male,Retired,10L-20L,380
C00274,Customer 274,50+,Male,Retired,10L-20L,407
C00275,Customer 275,26-35,Female,Professional,>20L,333
C00276,Customer 276,26-35,Male,Professional,<5L,398
C00277,Customer 277,26-35,Female,Salaried,>20L,756
C00278,Customer 278,18-25,Male,Salaried,>20L,895
C00279,Customer 279,36-50,Female,Salaried,10L-20L,517
C00280,Customer 280,26-35,Female,Salaried,10L-20L,649
C00281,Customer 281,26-35,Female,Professional,<5L,528
C00282,Customer 282,36-50,Male,Business,>20L,830
C00283,Customer 283,36-50,Female,Retired,10L-20L,666
C00284,Customer 284,18-25,Male,Salaried,>20L,417
C00285,Customer 285,18-25,Male,Retired,10L-20L,461
C00286,Customer 286,36-50,Female,Business,>20L,727
C00287,Customer 287,18-25,Female,Professional,>20L,584
C00288,Customer 288,50+,Male,Business,>20L,500
C00289,Customer 289,18-25,Male,Professional,<5L,886
C00290,Customer 290,36-50,Male,Retired,>20L,664
C00291,Customer 291,18-25,Male,Salaried,5L-10L,691
C00292,Customer 292,36-50,Male,Retired,5L-10L,486
C00293,Customer 293,36-50,Female,Business,<5L,578
C00294,Customer 294,26-35,Male,Business,>20L,787
C00295,Customer 295,26-35,Female,Professional,<5L,359
C00296,Customer 296,50+,Male,Professional,5L-10L,787
C00297,Customer 297,18-25,Male,Retired,10L-20L,465
C00298,Customer 298,26-35,Male,Professional,5L-10L,367
C00299,Customer 299,36-50,Female,Salaried,5L-10L,531
C00300,Customer 300,36-50,Male,Retired,<5L,680
C00301,Customer 301,18-25,Female,Retired,>20L,333
C00302,Customer 302,18-25,Female,Salaried,<5L,347
C00303,Customer 303,18-25,Female,Retired,10L-20L,847
C00304,Customer 304,26-35,Female,Professional,10L-20L,665
C00305,Customer 305,18-25,Female,Retired,>20L,893
C00306,Customer 306,36-50,Male,Salaried,10L-20L,755
C00307,Customer 307,50+,Female,Retired,10L-20L,560
C00308,Customer 308,18-25,Male,Retired,<5L,523
C00309,Customer 309,50+,Male,Professional,10L-20L,621
C00310,Customer 310,36-50,Male,Retired,10L-20L,568
C00311,Customer 311,50+,Female,Retired,10L-20L,660
C00312,Customer 312,50+,Female,Retired,5L-10L,320
C00313,Customer 313,18-25,Female,Professional,<5L,891
C00314,Customer 314,26-35,Male,Business,<5L,752
C00315,Customer 315,36-50,Female,Professional,>20L,418
C00316,Customer 316,50+,Female,Professional,5L-10L,511
C00317,Customer 317,36-50,Male,Professional,5L-10L,433
C00318,Customer 318,26-35,Male,Retired,10L-20L,300
C00319,Customer 319,50+,Male,Retired,10L-20L,503
C00320,Customer 320,36-50,Female,Salaried,5L-10L,324
C00321,Customer 321,36-50,Female,Business,10L-20L,631
C00322,Customer 322,50+,Male,Salaried,5L-10L,469
C00323,Customer 323,50+,Male,Business,10L-20L,820
C00324,Customer 324,50+,Male,Professional,>20L,386
C00325,Customer 325,50+,Male,Salaried,<5L,858
C00326,Customer 326,50+,Male,Retired,10L-20L,750
C00327,Customer 327,18-25,Female,Salaried,>20L,900
C00328,Customer 328,26-35,Female,Professional,10L-20L,847
C00329,Customer 329,26-35,Female,Retired,5L-10L,337
C00330,Customer 330,26-35,Female,Retired,10L-20L,886
C00331,Customer 331,18-25,Male,Professional,>20L,465
C00332,Customer 332,50+,Female,Professional,5L-10L,870
C00333,Customer 333,18-25,Female,Salaried,5L-10L,763
C00334,Customer 334,18-25,Female,Business,5L-10L,651
C00335,Customer 335,50+,Male,Professional,>20L,477
C00336,Customer 336,36-50,Female,Retired,10L-20L,349
C00337,Customer 337,18-25,Male,Retired,5L-10L,451
C00338,Customer 338,18-25,Male,Business,5L-10L,407
C00339,Customer 339,36-50,Female,Business,>20L,578
C00340,Customer 340,36-50,Female,Professional,>20L,718
C00341,Customer 341,36-50,Female,Salaried,<5L,442
C00342,Customer 342,18-25,Female,Professional,>20L,457
C00343,Customer 343,36-50,Female,Retired,<5L,347
C00344,Customer 344,18-25,Female,Business,10L-20L,850
C00345,Customer 345,36-50,Male,Professional,>20L,780
C00346,Customer 346,18-25,Male,Salaried,>20L,631
C00347,Customer 347,18-25,Male,Retired,<5L,428
C00348,Customer 348,36-50,Female,Professional,<5L,490
C00349,Customer 349,18-25,Male,Professional,>20L,514
C00350,Customer 350,26-35,Female,Professional,<5L,785
C00351,Customer 351,18-25,Female,Business,<5L,352
C00352,Customer 352,26-35,Female,Salaried,5L-10L,623
C00353,Customer 353,36-50,Female,Business,>20L,414
C00354,Customer 354,50+,Female,Salaried,<5L,362
C00355,Customer 355,26-35,Female,Retired,>20L,337
C00356,Customer 356,36-50,Female,Salaried,>20L,387
C00357,Customer 357,18-25,Female,Retired,>20L,559
C00358,Customer 358,26-35,Male,Retired,10L-20L,400
C00359,Customer 359,26-35,Female,Retired,<5L,732
C00360,Customer 360,50+,Male,Business,>20L,804
C00361,Customer 361,18-25,Female,Business,10L-20L,488
C00362,Customer 362,18-25,Female,Business,<5L,794
C00363,Customer 363,26-35,Male,Salaried,<5L,442
C00364,Customer 364,18-25,Female,Business,>20L,450
C00365,Customer 365,36-50,Male,Retired,5L-10L,399
C00366,Customer 366,36-50,Male,Retired,<5L,366
C00367,Customer 367,26-35,Male,Professional,>20L,709
C00368,Customer 368,50+,Female,Retired,<5L,820
C00369,Customer 369,36-50,Male,Business,>20L,578
C00370,Customer 370,36-50,Male,Salaried,<5L,726
C00371,Customer 371,50+,Male,Business,10L-20L,630
C00372,Customer 372,50+,Female,Business,<5L,765
C00373,Customer 373,50+,Male,Retired,>20L,817
C00374,Customer 374,50+,Female,Business,10L-20L,432
C00375,Customer 375,26-35,Female,Retired,<5L,627
C00376,Customer 376,26-35,Male,Salaried,5L-10L,892
C00377,Customer 377,36-50,Male,Retired,5L-10L,527
C00378,Customer 378,36-50,Male,Salaried,10L-20L,878
C00379,Customer 379,18-25,Female,Business,5L-10L,347
C00380,Customer 380,50+,Female,Salaried,<5L,470
C00381,Customer 381,26-35,Male,Salaried,10L-20L,573
C00382,Customer 382,36-50,Male,Professional,5L-10L,498
C00383,Customer 383,36-50,Male,Professional,5L-10L,566
C00384,Customer 384,18-25,Male,Business,5L-10L,606
C00385,Customer 385,26-35,Female,Business,10L-20L,307
C00386,Customer 386,50+,Male,Retired,5L-10L,886
C00387,Customer 387,26-35,Male,Retired,5L-10L,584
C00388,Customer 388,50+,Male,Salaried,10L-20L,614
C00389,Customer 389,26-35,Female,Business,5L-10L,640
C00390,Customer 390,36-50,Female,Retired,5L-10L,453
C00391,Customer 391,36-50,Male,Salaried,5L-10L,828
C00392,Customer 392,26-35,Female,Professional,<5L,715
C00393,Customer 393,50+,Male,Salaried,5L-10L,797
C00394,Customer 394,50+,Male,Salaried,10L-20L,457
C00395,Customer 395,50+,Male,Salaried,10L-20L,863
C00396,Customer 396,18-25,Male,Retired,<5L,537
C00397,Customer 397,36-50,Female,Professional,5L-10L,657
C00398,Customer 398,26-35,Male,Salaried,10L-20L,370
C00399,Customer 399,18-25,Male,Professional,5L-10L,714
C00400,Customer 400,26-35,Female,Business,>20L,703
C00401,Customer 401,50+,Male,Business,>20L,771
C00402,Customer 402,36-50,Female,Professional,<5L,856
C00403,Customer 403,36-50,Male,Business,10L-20L,619
C00404,Customer 404,36-50,Male,Business,5L-10L,812
C00405,Customer 405,50+,Male,Professional,>20L,611
C00406,Customer 406,36-50,Female,Business,5L-10L,794
C00407,Customer 407,36-50,Female,Retired,<5L,643
C00408,Customer 408,26-35,Female,Salaried,<5L,391
C00409,Customer 409,18-25,Female,Retired,5L-10L,370
C00410,Customer 410,18-25,Male,Professional,10L-20L,402
C00411,Customer 411,36-50,Female,Business,10L-20L,501
C00412,Customer 412,26-35,Male,Professional,5L-10L,420
C00413,Customer 413,26-35,Female,Business,>20L,503
C00414,Customer 414,36-50,Female,Salaried,<5L,643
C00415,Customer 415,26-35,Male,Retired,>20L,372
C00416,Customer 416,50+,Female,Professional,5L-10L,719
C00417,Customer 417,26-35,Female,Salaried,>20L,590
C00418,Customer 418,18-25,Female,Professional,<5L,375
C00419,Customer 419,26-35,Male,Professional,5L-10L,760
C00420,Customer 420,18-25,Male,Retired,<5L,626
C00421,Customer 421,50+,Male,Salaried,10L-20L,604
C00422,Customer 422,36-50,Female,Professional,5L-10L,556
C00423,Customer 423,50+,Male,Professional,10L-20L,596
C00424,Customer 424,18-25,Male,Business,>20L,878
C00425,Customer 425,50+,Female,Salaried,10L-20L,393
C00426,Customer 426,36-50,Male,Retired,<5L,794
C00427,Customer 427,18-25,Male,Retired,10L-20L,423
C00428,Customer 428,26-35,Male,Salaried,<5L,752
C00429,Customer 429,18-25,Male,Retired,<5L,654
C00430,Customer 430,26-35,Female,Salaried,>20L,825
C00431,Customer 431,36-50,Female,Retired,>20L,487
C00432,Customer 432,36-50,Female,Business,10L-20L,781
C00433,Customer 433,36-50,Male,Business,10L-20L,518
C00434,Customer 434,36-50,Male,Salaried,>20L,884
C00435,Customer 435,26-35,Male,Retired,10L-20L,849
C00436,Customer 436,50+,Male,Salaried,<5L,801
C00437,Customer 437,18-25,Male,Salaried,>20L,760
C00438,Customer 438,36-50,Male,Salaried,>20L,573
C00439,Customer 439,36-50,Male,Business,10L-20L,608
C00440,Customer 440,50+,Male,Salaried,<5L,390
C00441,Customer 441,36-50,Male,Professional,5L-10L,708
C00442,Customer 442,50+,Male,Professional,<5L,402
C00443,Customer 443,18-25,Female,Professional,>20L,355
C00444,Customer 444,36-50,Female,Salaried,5L-10L,888
C00445,Customer 445,50+,Female,Retired,>20L,658
C00446,Customer 446,50+,Female,Salaried,>20L,312
C00447,Customer 447,26-35,Female,Professional,10L-20L,317
C00448,Customer 448,26-35,Male,Business,10L-20L,414
C00449,Customer 449,50+,Male,Retired,10L-20L,311
C00450,Customer 450,18-25,Male,Salaried,>20L,347
C00451,Customer 451,36-50,Male,Salaried,10L-20L,594
C00452,Customer 452,36-50,Male,Professional,>20L,424
C00453,Customer 453,26-35,Male,Salaried,10L-20L,499
C00454,Customer 454,18-25,Female,Salaried,<5L,389
C00455,Customer 455,50+,Female,Professional,<5L,323
C00456,Customer 456,26-35,Male,Retired,<5L,372
C00457,Customer 457,50+,Male,Retired,<5L,472
C00458,Customer 458,18-25,Female,Retired,10L-20L,851
C00459,Customer 459,18-25,Female,Professional,10L-20L,334
C00460,Customer 460,26-35,Male,Retired,10L-20L,315
C00461,Customer 461,50+,Female,Retired,<5L,736
C00462,Customer 462,18-25,Male,Salaried,5L-10L,705
C00463,Customer 463,36-50,Female,Business,<5L,473
C00464,Customer 464,26-35,Male,Retired,>20L,551
C00465,Customer 465,36-50,Female,Retired,5L-10L,594
C00466,Customer 466,36-50,Male,Salaried,<5L,788
C00467,Customer 467,36-50,Male,Business,10L-20L,886
C00468,Customer 468,36-50,Male,Retired,10L-20L,824
C00469,Customer 469,50+,Male,Retired,5L-10L,315
C00470,Customer 470,18-25,Female,Salaried,10L-20L,899
C00471,Customer 471,26-35,Male,Business,>20L,420
C00472,Customer 472,36-50,Male,Business,>20L,751
C00473,Customer 473,36-50,Male,Salaried,10L-20L,725
C00474,Customer 474,50+,Male,Professional,>20L,844
C00475,Customer 475,26-35,Female,Salaried,10L-20L,722
C00476,Customer 476,36-50,Male,Salaried,10L-20L,884
C00477,Customer 477,36-50,Female,Salaried,5L-10L,779
C00478,Customer 478,26-35,Female,Business,>20L,444
C00479,Customer 479,50+,Male,Salaried,>20L,449
C00480,Customer 480,36-50,Male,Business,>20L,402
C00481,Customer 481,26-35,Female,Professional,>20L,821
C00482,Customer 482,36-50,Female,Retired,10L-20L,699
C00483,Customer 483,18-25,Male,Professional,5L-10L,352
C00484,Customer 484,26-35,Female,Salaried,>20L,566
C00485,Customer 485,50+,Female,Professional,>20L,341
C00486,Customer 486,36-50,Female,Business,<5L,765
C00487,Customer 487,36-50,Female,Professional,10L-20L,669
C00488,Customer 488,36-50,Female,Salaried,10L-20L,807
C00489,Customer 489,26-35,Female,Salaried,10L-20L,300
C00490,Customer 490,18-25,Female,Salaried,5L-10L,631
C00491,Customer 491,50+,Male,Business,5L-10L,792
C00492,Customer 492,36-50,Male,Business,5L-10L,456
C00493,Customer 493,18-25,Female,Salaried,<5L,653
C00494,Customer 494,50+,Female,Salaried,10L-20L,715
C00495,Customer 495,50+,Male,Business,5L-10L,379
C00496,Customer 496,26-35,Female,Salaried,<5L,879
C00497,Customer 497,50+,Female,Business,5L-10L,393
C00498,Customer 498,36-50,Female,Retired,10L-20L,405
C00499,Customer 499,50+,Male,Salaried,<5L,531
C00500,Customer 500,36-50,Female,Business,5L-10L,706
C00501,Customer 501,36-50,Female,Business,<5L,877
