TransactionID,CustomerID,BranchID,Date,Amount,TransactionType,Channel
T0000048,C02232,B003,2024-11-24 0:00:00,1554177,Withdrawal,Mobile
T0000049,C01473,B007,2024-01-10 0:00:00,1933732,Transfer,Branch
T0000050,C01272,B006,2025-02-25 0:00:00,528025,Withdrawal,Mobile
T0000051,C01698,B003,2023-08-13 0:00:00,740207,EMI Payment,Internet Banking
T0000052,C01730,B004,2025-02-09 0:00:00,692778,EMI Payment,Mobile
T0000053,C00007,B004,2024-04-27 0:00:00,1949349,Withdrawal,Internet Banking
T0000054,C00010,B008,2025-02-24 0:00:00,1871270,Withdrawal,Internet Banking
T0000055,C02462,B003,2025-08-03 0:00:00,261780,Transfer,ATM
T0000056,C00085,B005,2023-04-30 0:00:00,1938839,Deposit,Internet Banking
T0000057,C01405,B001,2023-10-19 0:00:00,1711888,Withdrawal,Internet Banking
T0000058,C02242,B004,2023-11-30 0:00:00,372286,Transfer,Mobile
T0000059,C00554,B005,2025-12-10 0:00:00,1484846,Withdrawal,Mobile
T0000060,C02174,B003,2025-11-11 0:00:00,1382214,Deposit,Internet Banking
T0000061,C00857,B001,2024-11-10 0:00:00,561241,EMI Payment,Mobile
T0000062,C00665,B003,2024-05-27 0:00:00,1529799,Withdrawal,Branch
T0000063,C00940,B006,2024-10-07 0:00:00,526299,Deposit,Internet Banking
T0000064,C00887,B002,2025-06-15 0:00:00,1406476,EMI Payment,Branch
T0000065,C00636,B005,2024-01-13 0:00:00,893557,EMI Payment,ATM
T0000066,C02577,B003,2023-11-11 0:00:00,1884628,Transfer,ATM
T0000067,C02362,B008,2023-10-31 0:00:00,235358,Withdrawal,Internet Banking
T0000068,C02383,B003,2023-11-17 0:00:00,1610676,Transfer,Internet Banking
T0000069,C00135,B002,2025-07-19 0:00:00,23321,Withdrawal,ATM
T0000070,C01426,B008,2024-06-02 0:00:00,188256,Transfer,Branch
T0000071,C00766,B004,2023-11-09 0:00:00,593143,Transfer,Branch
T0000072,C02677,B001,2024-05-06 0:00:00,447512,Deposit,Branch
T0000073,C01527,B004,2025-05-17 0:00:00,807505,Deposit,Mobile
T0000074,C01192,B001,2025-01-19 0:00:00,890150,Deposit,Internet Banking
T0000075,C01046,B003,2023-08-26 0:00:00,1602026,Withdrawal,Mobile
T0000076,C02386,B006,2024-03-02 0:00:00,387612,Deposit,Internet Banking
T0000077,C02352,B002,2023-11-01 0:00:00,648104,Withdrawal,Mobile
T0000078,C00866,B001,2025-02-21 0:00:00,529690,Transfer,ATM
T0000079,C02857,B003,2023-05-18 0:00:00,1547505,Transfer,Branch
T0000080,C02513,B005,2023-06-12 0:00:00,1790974,EMI Payment,Mobile
T0000081,C00710,B007,2025-12-09 0:00:00,220183,EMI Payment,Mobile
T0000082,C00898,B005,2024-01-26 0:00:00,621916,Withdrawal,ATM
T0000083,C02444,B001,2025-07-07 0:00:00,607015,EMI Payment,Mobile
T0000084,C00218,B001,2023-11-04 0:00:00,1182215,EMI Payment,Mobile
T0000085,C01393,B006,2024-03-09 0:00:00,949235,EMI Payment,Mobile
T0000086,C00247,B001,2025-04-30 0:00:00,1281086,EMI Payment,Branch
T0000087,C00441,B008,2025-09-11 0:00:00,903113,Deposit,Internet Banking
T0000088,C01316,B001,2023-01-15 0:00:00,356674,Deposit,Branch
T0000089,C00437,B008,2024-09-26 0:00:00,1604566,EMI Payment,Mobile
T0000090,C01901,B001,2025-11-06 0:00:00,945400,Transfer,Branch
T0000091,C00966,B002,2023-01-04 0:00:00,1228213,Deposit,ATM
T0000092,C01414,B002,2024-03-26 0:00:00,665394,Withdrawal,Internet Banking
T0000093,C01959,B008,2025-08-04 0:00:00,1733557,EMI Payment,Branch
T0000094,C00810,B003,2025-09-10 0:00:00,608932,EMI Payment,Internet Banking
T0000095,C01001,B005,2024-11-20 0:00:00,1294996,Transfer,ATM
T0000096,C00574,B001,2023-08-11 0:00:00,93930,Transfer,Branch
T0000097,C00178,B005,2023-06-07 0:00:00,1410417,Withdrawal,ATM
T0000098,C00308,B007,2023-08-12 0:00:00,463238,Transfer,Branch
T0000099,C00236,B003,2024-06-09 0:00:00,851392,EMI Payment,ATM
T0000100,C00501,B002,2025-05-17 0:00:00,1489952,EMI Payment,ATM
T0000101,C02036,B008,2024-03-15 0:00:00,283308,EMI Payment,Branch
T0000102,C00345,B006,2023-01-26 0:00:00,1217343,Withdrawal,Mobile
T0000103,C02649,B004,2025-11-12 0:00:00,15010,Deposit,ATM
T0000104,C01337,B006,2023-12-10 0:00:00,108882,Transfer,Branch
T0000105,C00433,B007,2023-12-11 0:00:00,567222,Withdrawal,Internet Banking
T0000106,C01079,B008,2023-05-28 0:00:00,1264558,Withdrawal,Mobile
T0000107,C01924,B006,2024-08-11 0:00:00,1989159,Transfer,ATM
T0000108,C00326,B002,2024-05-22 0:00:00,885061,Withdrawal,Internet Banking
T0000109,C02999,B006,2023-06-12 0:00:00,1475396,EMI Payment,Branch
T0000110,C00104,B005,2025-08-23 0:00:00,1072500,Withdrawal,Mobile
T0000111,C01823,B008,2023-04-23 0:00:00,1124156,EMI Payment,Mobile
T0000112,C00210,B003,2023-01-02 0:00:00,1954285,Transfer,Branch
T0000113,C01444,B006,2024-01-13 0:00:00,177683,Deposit,Internet Banking
T0000114,C00848,B007,2024-10-18 0:00:00,283624,Withdrawal,ATM
T0000115,C01338,B005,2023-06-09 0:00:00,1035543,EMI Payment,Mobile
T0000116,C01135,B008,2025-11-01 0:00:00,1090445,Deposit,Branch
T0000117,C01461,B003,2023-05-23 0:00:00,1734342,Transfer,Branch
T0000118,C01261,B006,2024-09-27 0:00:00,1270543,Transfer,Mobile
T0000119,C00877,B006,2025-09-19 0:00:00,740906,Transfer,Branch
T0000120,C00589,B004,2025-09-06 0:00:00,1733393,Deposit,Internet Banking
T0000121,C02537,B007,2024-11-07 0:00:00,1507737,Withdrawal,Internet Banking
T0000122,C02166,B006,2023-12-20 0:00:00,403000,Deposit,Internet Banking
T0000123,C00128,B001,2024-11-10 0:00:00,1539123,Withdrawal,ATM
T0000124,C02053,B001,2023-06-02 0:00:00,909544,EMI Payment,ATM
T0000125,C00007,B005,2023-08-10 0:00:00,280244,Deposit,Branch
T0000126,C00663,B002,2024-10-17 0:00:00,551714,EMI Payment,Internet Banking
T0000127,C02714,B004,2023-02-17 0:00:00,443091,Deposit,Internet Banking
T0000128,C01106,B008,2024-06-22 0:00:00,611280,Deposit,Branch
T0000129,C01018,B003,2024-06-12 0:00:00,379249,Deposit,Mobile
T0000130,C00359,B005,2023-04-25 0:00:00,1474550,Transfer,Branch
T0000131,C02672,B007,2024-06-24 0:00:00,1516128,EMI Payment,Branch
T0000132,C02552,B001,2025-02-12 0:00:00,946849,Transfer,ATM
T0000133,C01526,B007,2025-08-30 0:00:00,1738008,Transfer,Mobile
T0000134,C02228,B005,2024-01-30 0:00:00,117286,Deposit,Internet Banking
T0000135,C02762,B008,2025-01-07 0:00:00,1213350,EMI Payment,Mobile
T0000136,C01975,B004,2025-03-27 0:00:00,1252309,EMI Payment,ATM
T0000137,C02860,B006,2024-02-19 0:00:00,1871720,Deposit,Internet Banking
T0000138,C02807,B008,2024-05-13 0:00:00,269411,Withdrawal,Internet Banking
T0000139,C02709,B002,2024-01-17 0:00:00,758640,EMI Payment,Mobile
T0000140,C01131,B003,2024-08-31 0:00:00,1512125,Deposit,Internet Banking
T0000141,C02827,B002,2025-10-08 0:00:00,1574337,EMI Payment,Branch
T0000142,C02830,B008,2023-10-06 0:00:00,541122,Transfer,Branch
T0000143,C00864,B007,2025-09-06 0:00:00,1419027,Transfer,ATM
T0000144,C01052,B003,2023-04-19 0:00:00,790393,Withdrawal,ATM
T0000145,C00160,B003,2023-04-22 0:00:00,248387,Deposit,Internet Banking
T0000146,C01927,B001,2023-10-25 0:00:00,746960,Withdrawal,Mobile
T0000147,C01856,B002,2023-03-23 0:00:00,1245157,EMI Payment,Internet Banking
T0000148,C02147,B005,2025-02-11 0:00:00,171695,Transfer,Mobile
T0000149,C00691,B003,2023-11-25 0:00:00,1036352,EMI Payment,Branch
T0000150,C01259,B004,2023-06-14 0:00:00,1503316,Transfer,Internet Banking
T0000151,C02911,B008,2025-03-01 0:00:00,1222555,Transfer,Mobile
T0000152,C02955,B003,2024-12-19 0:00:00,152889,Deposit,ATM
T0000153,C02915,B002,2024-06-07 0:00:00,895497,Deposit,ATM
T0000154,C01453,B006,2023-02-09 0:00:00,216535,Withdrawal,ATM
T0000155,C01843,B004,2023-04-22 0:00:00,68701,Transfer,Mobile
T0000156,C00400,B005,2023-03-14 0:00:00,758126,Transfer,Internet Banking
T0000157,C00166,B002,2025-03-04 0:00:00,1940405,Withdrawal,ATM
T0000158,C00344,B001,2023-02-28 0:00:00,290165,Transfer,Internet Banking
T0000159,C01267,B007,2024-01-23 0:00:00,1069499,Transfer,Mobile
T0000160,C01690,B005,2024-05-24 0:00:00,371369,Withdrawal,Internet Banking
T0000161,C02285,B004,2023-06-18 0:00:00,1929147,Withdrawal,Mobile
T0000162,C02091,B001,2024-02-21 0:00:00,1610176,Deposit,Internet Banking
T0000163,C01288,B002,2025-08-27 0:00:00,52182,Withdrawal,Internet Banking
T0000164,C00178,B005,2023-07-28 0:00:00,851607,EMI Payment,Internet Banking
T0000165,C01609,B005,2023-06-21 0:00:00,130744,Transfer,Branch
T0000166,C01692,B004,2023-07-08 0:00:00,304438,Transfer,Internet Banking
T0000167,C01218,B008,2025-07-25 0:00:00,528076,Withdrawal,Internet Banking
T0000168,C02092,B005,2023-12-18 0:00:00,1732201,Withdrawal,Internet Banking
T0000169,C02566,B007,2025-07-02 0:00:00,1242715,EMI Payment,Internet Banking
T0000170,C00544,B001,2025-04-25 0:00:00,473193,Transfer,Branch
T0000171,C00984,B001,2024-10-08 0:00:00,356626,EMI Payment,Branch
T0000172,C01874,B008,2023-10-22 0:00:00,1820627,Deposit,ATM
T0000173,C00649,B002,2024-10-13 0:00:00,1560349,Deposit,ATM
T0000174,C02711,B003,2024-09-06 0:00:00,1041102,Deposit,Branch
T0000175,C01437,B005,2023-01-30 0:00:00,1635128,EMI Payment,Branch
T0000176,C01260,B002,2025-04-22 0:00:00,1197638,Transfer,ATM
T0000177,C02655,B006,2025-12-30 0:00:00,1049584,Withdrawal,Mobile
T0000178,C02740,B008,2024-11-19 0:00:00,1670151,Deposit,ATM
T0000179,C00536,B001,2024-03-01 0:00:00,840056,Transfer,ATM
T0000180,C01545,B002,2023-01-26 0:00:00,1116057,Transfer,Internet Banking
T0000181,C01393,B004,2023-12-14 0:00:00,1701325,Deposit,Internet Banking
T0000182,C02916,B003,2024-09-06 0:00:00,1237603,Withdrawal,ATM
T0000183,C02252,B001,2024-10-02 0:00:00,923242,Withdrawal,ATM
T0000184,C00050,B007,2024-07-16 0:00:00,1203055,Deposit,ATM
T0000185,C00833,B005,2025-09-24 0:00:00,459809,Deposit,Mobile
T0000186,C00706,B001,2024-07-30 0:00:00,1193892,EMI Payment,ATM
T0000187,C01765,B005,2025-10-31 0:00:00,53773,Withdrawal,Internet Banking
T0000188,C02011,B002,2025-07-09 0:00:00,7138,Deposit,Internet Banking
T0000189,C01439,B004,2023-06-06 0:00:00,317085,EMI Payment,Branch
T0000190,C00642,B001,2023-02-11 0:00:00,286847,Transfer,ATM
T0000191,C01606,B004,2024-04-05 0:00:00,1125121,Deposit,Internet Banking
T0000192,C02857,B008,2025-10-10 0:00:00,831421,Deposit,ATM
T0000193,C02382,B005,2024-02-15 0:00:00,1915901,EMI Payment,Mobile
T0000194,C02997,B008,2024-01-31 0:00:00,1527696,Withdrawal,Internet Banking
T0000195,C02855,B008,2023-03-13 0:00:00,828101,EMI Payment,Internet Banking
T0000196,C02310,B004,2025-07-08 0:00:00,1005569,EMI Payment,Mobile
T0000197,C02818,B006,2024-07-27 0:00:00,333796,EMI Payment,Mobile
T0000198,C01002,B007,2024-12-23 0:00:00,681380,EMI Payment,ATM
T0000199,C01821,B005,2023-10-06 0:00:00,1494670,Deposit,Branch
T0000200,C01079,B001,2023-07-15 0:00:00,1450710,Transfer,Internet Banking
T0000201,C02784,B007,2023-11-15 0:00:00,1422385,Deposit,Internet Banking
T0000202,C02117,B006,2023-08-01 0:00:00,1883853,Withdrawal,ATM
T0000203,C00881,B008,2025-08-28 0:00:00,269512,EMI Payment,ATM
T0000204,C01146,B001,2024-02-25 0:00:00,959107,Deposit,Mobile
T0000205,C00067,B008,2024-08-06 0:00:00,463126,Deposit,Branch
T0000206,C00705,B005,2024-11-21 0:00:00,1414512,Withdrawal,Branch
T0000207,C00591,B004,2025-12-20 0:00:00,1572446,EMI Payment,ATM
T0000208,C01658,B001,2024-01-12 0:00:00,1382008,Transfer,Mobile
T0000209,C01833,B008,2025-08-04 0:00:00,80921,Withdrawal,Branch
T0000210,C01343,B007,2023-10-07 0:00:00,104345,Withdrawal,Branch
T0000211,C00019,B003,2023-05-12 0:00:00,1980434,Deposit,Internet Banking
T0000212,C00921,B008,2025-06-30 0:00:00,332136,EMI Payment,ATM
T0000213,C01492,B006,2025-02-01 0:00:00,232603,EMI Payment,ATM
T0000214,C02494,B004,2023-12-11 0:00:00,145924,EMI Payment,Internet Banking
T0000215,C00951,B006,2023-03-15 0:00:00,235745,Transfer,Mobile
T0000216,C01619,B006,2025-08-03 0:00:00,1328795,Deposit,Branch
T0000217,C01502,B008,2025-06-29 0:00:00,176455,Deposit,ATM
T0000218,C01762,B006,2023-12-28 0:00:00,1465257,EMI Payment,ATM
T0000219,C00381,B002,2025-03-30 0:00:00,534238,Transfer,Internet Banking
T0000220,C01465,B005,2023-04-08 0:00:00,1008621,Deposit,Branch
T0000221,C02117,B008,2025-06-06 0:00:00,806236,Deposit,Internet Banking
T0000222,C01133,B002,2023-06-27 0:00:00,729313,Transfer,Mobile
T0000223,C00099,B003,2023-10-05 0:00:00,1418877,Withdrawal,Internet Banking
T0000224,C02868,B001,2023-01-30 0:00:00,642491,Withdrawal,ATM
T0000225,C01058,B005,2024-12-05 0:00:00,33422,Deposit,Branch
T0000226,C00574,B001,2025-09-24 0:00:00,1803705,Deposit,ATM
T0000227,C01278,B001,2025-08-27 0:00:00,498291,Withdrawal,Internet Banking
T0000228,C01376,B001,2025-07-25 0:00:00,396084,EMI Payment,ATM
T0000229,C00333,B006,2023-10-10 0:00:00,561026,Withdrawal,Mobile
T0000230,C01783,B006,2023-02-06 0:00:00,870506,Deposit,Internet Banking
T0000231,C00813,B003,2025-07-11 0:00:00,788807,EMI Payment,Branch
T0000232,C01081,B005,2023-12-07 0:00:00,1872661,Withdrawal,Mobile
T0000233,C00057,B006,2023-07-30 0:00:00,1309092,EMI Payment,Mobile
T0000234,C02412,B002,2024-02-11 0:00:00,481971,Transfer,ATM
T0000235,C01942,B006,2023-10-25 0:00:00,48402,EMI Payment,Internet Banking
T0000236,C02307,B001,2024-06-25 0:00:00,1593371,EMI Payment,Internet Banking
T0000237,C02219,B008,2025-03-09 0:00:00,317672,EMI Payment,ATM
T0000238,C01678,B005,2025-08-13 0:00:00,1791050,Withdrawal,Branch
T0000239,C01938,B003,2025-09-24 0:00:00,1759589,EMI Payment,Branch
T0000240,C01331,B002,2025-11-04 0:00:00,1413224,Withdrawal,ATM
T0000241,C02424,B002,2025-12-06 0:00:00,3403,EMI Payment,ATM
T0000242,C00373,B001,2024-08-15 0:00:00,664314,EMI Payment,Mobile
T0000243,C02018,B007,2023-11-29 0:00:00,11615,EMI Payment,Branch
T0000244,C01421,B006,2023-08-15 0:00:00,865226,EMI Payment,ATM
T0000245,C01081,B006,2025-03-10 0:00:00,1947791,EMI Payment,Branch
T0000246,C02816,B002,2025-06-23 0:00:00,789801,EMI Payment,Branch
T0000247,C02901,B005,2025-08-12 0:00:00,93926,Transfer,Internet Banking
T0000248,C02353,B008,2024-08-17 0:00:00,861241,Transfer,ATM
T0000249,C02642,B007,2024-11-29 0:00:00,399674,Deposit,Mobile
T0000250,C02964,B006,2025-04-18 0:00:00,1543031,Deposit,Internet Banking
T0000251,C00143,B006,2025-08-19 0:00:00,183861,Transfer,Mobile
T0000252,C01836,B008,2025-12-11 0:00:00,643357,Withdrawal,Internet Banking
T0000253,C02435,B001,2025-06-10 0:00:00,35587,Transfer,ATM
T0000254,C02353,B003,2025-02-16 0:00:00,705593,Withdrawal,Internet Banking
T0000255,C01104,B007,2023-11-18 0:00:00,1560168,Withdrawal,Mobile
T0000256,C02110,B002,2025-01-24 0:00:00,833445,Deposit,Mobile
T0000257,C01900,B007,2025-08-21 0:00:00,871724,Transfer,Mobile
T0000258,C00156,B004,2025-11-20 0:00:00,1931701,Transfer,ATM
T0000259,C02297,B006,2023-09-10 0:00:00,1589215,Deposit,Internet Banking
T0000260,C02443,B006,2025-07-29 0:00:00,10597,Transfer,Mobile
T0000261,C01353,B008,2024-02-23 0:00:00,1859273,Deposit,ATM
T0000262,C01871,B006,2023-12-08 0:00:00,81782,Deposit,Mobile
T0000263,C00043,B002,2023-10-14 0:00:00,41183,Transfer,Internet Banking
T0000264,C01381,B001,2024-08-06 0:00:00,198524,Transfer,Mobile
T0000265,C01201,B003,2023-02-19 0:00:00,1924861,Transfer,Mobile
T0000266,C01351,B003,2025-08-02 0:00:00,203826,EMI Payment,Mobile
T0000267,C00717,B003,2023-01-31 0:00:00,1924482,Withdrawal,Internet Banking
T0000268,C02747,B005,2023-03-28 0:00:00,1565424,EMI Payment,Mobile
T0000269,C00638,B001,2024-06-05 0:00:00,537741,EMI Payment,Mobile
T0000270,C01954,B005,2023-01-31 0:00:00,260045,EMI Payment,ATM
T0000271,C00239,B004,2024-10-10 0:00:00,524779,Transfer,Branch
T0000272,C01881,B008,2024-11-23 0:00:00,1256528,Withdrawal,Internet Banking
T0000273,C00474,B008,2023-09-12 0:00:00,1612437,Transfer,ATM
T0000274,C02155,B006,2025-07-14 0:00:00,981236,Withdrawal,Mobile
T0000275,C02090,B008,2024-02-20 0:00:00,1456902,Deposit,Mobile
T0000276,C01319,B004,2024-08-31 0:00:00,409501,Deposit,Branch
T0000277,C00118,B006,2024-07-22 0:00:00,1734809,EMI Payment,ATM
T0000278,C02511,B004,2025-04-26 0:00:00,348408,EMI Payment,Internet Banking
T0000279,C02347,B003,2025-01-02 0:00:00,1716265,Deposit,Branch
T0000280,C01996,B006,2023-02-25 0:00:00,2738,Transfer,ATM
T0000281,C01569,B006,2024-09-23 0:00:00,1561481,Deposit,ATM
T0000282,C02339,B007,2025-07-08 0:00:00,1365536,Transfer,ATM
T0000283,C00215,B002,2025-05-20 0:00:00,1510734,Transfer,Internet Banking
T0000284,C01008,B005,2023-04-24 0:00:00,9272,Withdrawal,Branch
T0000285,C00774,B008,2024-01-30 0:00:00,1776906,Transfer,Mobile
T0000286,C02785,B004,2024-10-17 0:00:00,1875111,EMI Payment,ATM
T0000287,C01010,B006,2023-01-01 0:00:00,1373835,EMI Payment,Branch
T0000288,C02517,B008,2023-03-30 0:00:00,503408,EMI Payment,Mobile
T0000289,C00252,B004,2025-09-18 0:00:00,414415,EMI Payment,Mobile
T0000290,C02817,B004,2023-02-02 0:00:00,1980292,Withdrawal,ATM
T0000291,C00952,B006,2025-04-04 0:00:00,698215,EMI Payment,Internet Banking
T0000292,C02950,B007,2024-02-25 0:00:00,1455441,Withdrawal,ATM
T0000293,C01267,B001,2023-02-20 0:00:00,774068,Deposit,Internet Banking
T0000294,C01833,B002,2025-07-05 0:00:00,734643,Transfer,Mobile
T0000295,C00489,B007,2024-06-05 0:00:00,1534861,Deposit,Mobile
T0000296,C00548,B003,2023-01-05 0:00:00,1025029,Withdrawal,Mobile
T0000297,C01347,B001,2024-02-18 0:00:00,1696539,Deposit,Internet Banking
T0000298,C01832,B007,2024-10-29 0:00:00,107358,Deposit,Branch
T0000299,C01478,B006,2023-01-05 0:00:00,1183235,Transfer,Branch
T0000300,C00855,B003,2024-11-09 0:00:00,168300,EMI Payment,Mobile
T0000301,C01679,B004,2025-06-15 0:00:00,1901214,EMI Payment,ATM
T0000302,C02660,B004,2024-02-20 0:00:00,1738288,Withdrawal,Internet Banking
T0000303,C02910,B007,2025-06-01 0:00:00,1887491,Deposit,Internet Banking
T0000304,C00254,B001,2025-04-19 0:00:00,1014867,Withdrawal,Branch
T0000305,C02987,B006,2024-03-05 0:00:00,691759,EMI Payment,ATM
T0000306,C01909,B006,2025-04-04 0:00:00,1946484,Deposit,ATM
T0000307,C00125,B002,2024-04-11 0:00:00,1121564,Withdrawal,Mobile
T0000308,C01118,B004,2023-02-09 0:00:00,1817939,EMI Payment,Internet Banking
T0000309,C02919,B004,2023-10-30 0:00:00,1201043,Deposit,Mobile
T0000310,C01466,B003,2025-07-03 0:00:00,1969795,Withdrawal,ATM
T0000311,C01173,B003,2023-09-29 0:00:00,1399735,Withdrawal,Branch
T0000312,C02494,B002,2025-04-06 0:00:00,1923876,Deposit,Internet Banking
T0000313,C01791,B007,2024-06-14 0:00:00,1683329,Transfer,Internet Banking
T0000314,C02919,B001,2023-04-24 0:00:00,1511646,Transfer,Mobile
T0000315,C00185,B004,2023-11-28 0:00:00,711166,Withdrawal,Mobile
T0000316,C01487,B008,2025-09-12 0:00:00,499740,EMI Payment,Branch
T0000317,C02324,B008,2023-06-28 0:00:00,1180686,Deposit,Internet Banking
T0000318,C01753,B007,2025-07-17 0:00:00,1086946,Transfer,ATM
T0000319,C00056,B001,2025-09-08 0:00:00,394545,Deposit,Mobile
T0000320,C00911,B004,2025-05-09 0:00:00,1971574,EMI Payment,Internet Banking
T0000321,C01586,B003,2023-11-04 0:00:00,1240660,Withdrawal,Mobile
T0000322,C02222,B005,2024-07-27 0:00:00,1301842,Deposit,Internet Banking
T0000323,C02733,B005,2025-03-18 0:00:00,1121788,Withdrawal,Internet Banking
T0000324,C01456,B001,2025-01-09 0:00:00,159127,Transfer,Internet Banking
T0000325,C01147,B006,2023-11-25 0:00:00,697620,Transfer,Mobile
T0000326,C02772,B004,2023-12-16 0:00:00,385420,EMI Payment,Internet Banking
T0000327,C00937,B008,2024-05-15 0:00:00,1084508,Transfer,Internet Banking
T0000328,C02580,B003,2023-08-02 0:00:00,862910,Withdrawal,Internet Banking
T0000329,C00351,B001,2025-09-11 0:00:00,1699554,EMI Payment,Internet Banking
T0000330,C01296,B006,2025-03-21 0:00:00,1890233,Withdrawal,Branch
T0000331,C02097,B004,2025-12-28 0:00:00,1399931,Withdrawal,Branch
T0000332,C01639,B006,2024-10-28 0:00:00,1267458,Withdrawal,ATM
T0000333,C00061,B008,2023-11-02 0:00:00,1989399,Withdrawal,ATM
T0000334,C02583,B002,2025-05-14 0:00:00,178052,EMI Payment,Branch
T0000335,C01908,B004,2023-03-23 0:00:00,115229,Withdrawal,ATM
T0000336,C00805,B007,2024-07-25 0:00:00,975070,EMI Payment,Branch
T0000337,C02800,B004,2024-07-17 0:00:00,1489182,Deposit,Internet Banking
T0000338,C00148,B008,2023-10-18 0:00:00,247776,Deposit,Internet Banking
T0000339,C02948,B008,2025-08-13 0:00:00,582749,Transfer,Mobile
T0000340,C02917,B002,2025-07-18 0:00:00,1024312,Deposit,Internet Banking
T0000341,C02098,B008,2023-06-27 0:00:00,1332346,EMI Payment,Branch
T0000342,C00410,B001,2025-10-20 0:00:00,1199239,Deposit,Branch
T0000343,C01096,B007,2023-11-07 0:00:00,1761122,Deposit,Internet Banking
T0000344,C01974,B002,2023-01-11 0:00:00,121703,Withdrawal,Internet Banking
T0000345,C00195,B005,2023-12-18 0:00:00,1099076,Withdrawal,Internet Banking
T0000346,C00839,B001,2025-02-21 0:00:00,1425408,EMI Payment,Mobile
T0000347,C02944,B005,2023-01-14 0:00:00,939895,Deposit,Branch
T0000348,C00219,B003,2025-01-22 0:00:00,894185,Transfer,Mobile
T0000349,C00097,B002,2024-06-09 0:00:00,1502881,Deposit,Branch
T0000350,C02297,B004,2025-10-14 0:00:00,500877,Deposit,Internet Banking
T0000351,C02890,B008,2024-11-15 0:00:00,380852,Withdrawal,Branch
