AlertID,CustomerID,BranchID,Date,AlertType,AlertAmount,RiskRating,Status
A000039,C02356,B003,2024-04-16 0:00:00,IFTR,8627418,High,Open
A000040,C01420,B007,2024-04-05 0:00:00,Suspicious Activity,6908152,Medium,Open
A000041,C01501,B004,2023-08-02 0:00:00,Suspicious Activity,2775955,Low,Under Review
A000042,C02564,B002,2023-01-16 0:00:00,Structuring,8515065,Low,Open
A000043,C00286,B007,2024-03-20 0:00:00,IFTR,4314759,Low,Closed
A000044,C01427,B008,2023-11-27 0:00:00,Suspicious Activity,4353992,High,Under Review
A000045,C01361,B008,2023-04-25 0:00:00,CTR,1356825,Medium,Closed
A000046,C01516,B003,2023-09-22 0:00:00,Structuring,3645033,Low,Open
A000047,C01574,B004,2023-04-07 0:00:00,Suspicious Activity,5161853,Medium,Under Review
A000048,C02907,B005,2023-07-01 0:00:00,Structuring,5552492,Medium,Open
A000049,C00702,B005,2023-03-30 0:00:00,CTR,5701149,Low,Closed
A000050,C01047,B003,2025-07-21 0:00:00,Structuring,3831552,High,Under Review
A000051,C00582,B008,2025-07-04 0:00:00,Structuring,9732595,High,Under Review
A000052,C02051,B007,2023-07-08 0:00:00,Suspicious Activity,9865017,Low,Under Review
A000053,C00878,B003,2024-12-07 0:00:00,Suspicious Activity,5797207,Low,Closed
A000054,C02197,B003,2024-05-15 0:00:00,CTR,3597813,High,Open
A000055,C01011,B007,2024-11-28 0:00:00,Suspicious Activity,195840,Medium,Under Review
A000056,C02680,B007,2023-03-08 0:00:00,CTR,1985492,Low,Closed
A000057,C01363,B005,2024-06-12 0:00:00,CTR,5661153,Low,Closed
A000058,C00579,B001,2025-09-20 0:00:00,Suspicious Activity,2706558,Medium,Open
A000059,C02788,B008,2024-01-04 0:00:00,Suspicious Activity,4771285,Medium,Closed
A000060,C00523,B006,2023-04-04 0:00:00,Structuring,6450234,Medium,Closed
A000061,C00886,B003,2023-04-20 0:00:00,CTR,6278934,High,Open
A000062,C02269,B006,2023-05-14 0:00:00,IFTR,9103917,Medium,Under Review
A000063,C01612,B001,2023-09-19 0:00:00,IFTR,212152,Low,Closed
A000064,C01026,B005,2023-07-03 0:00:00,Structuring,7452832,High,Under Review
A000065,C00157,B003,2025-04-04 0:00:00,IFTR,3712049,Medium,Open
A000066,C00942,B006,2025-03-11 0:00:00,CTR,2746964,Medium,Under Review
A000067,C01018,B008,2024-07-22 0:00:00,IFTR,2966559,Low,Open
A000068,C01426,B003,2023-11-16 0:00:00,CTR,2854261,High,Closed
A000069,C01419,B003,2024-01-17 0:00:00,Structuring,2540389,Medium,Open
A000070,C00495,B005,2025-02-03 0:00:00,CTR,6961838,Low,Closed
A000071,C02227,B002,2024-03-27 0:00:00,Structuring,1940739,High,Open
A000072,C01185,B004,2024-01-08 0:00:00,Structuring,4247021,Medium,Under Review
A000073,C01370,B005,2023-04-23 0:00:00,CTR,7692496,Medium,Closed
A000074,C00116,B002,2024-04-24 0:00:00,CTR,7741745,Low,Under Review
A000075,C00828,B008,2025-04-06 0:00:00,IFTR,9682995,Medium,Open
A000076,C02564,B004,2025-08-17 0:00:00,Structuring,9017254,Medium,Closed
A000077,C00408,B007,2025-11-13 0:00:00,IFTR,6605098,High,Closed
A000078,C02014,B002,2024-02-18 0:00:00,IFTR,8943604,Low,Closed
A000079,C02758,B007,2024-02-29 0:00:00,Suspicious Activity,2507095,Medium,Open
A000080,C02242,B003,2024-07-12 0:00:00,IFTR,8043382,High,Closed
A000081,C00227,B006,2023-07-14 0:00:00,CTR,6358936,Medium,Closed
A000082,C02817,B008,2025-05-18 0:00:00,CTR,8291892,Low,Open
A000083,C01916,B006,2025-10-07 0:00:00,Suspicious Activity,2125117,Low,Open
A000084,C01763,B004,2025-05-09 0:00:00,IFTR,6923894,Low,Open
A000085,C02826,B006,2024-05-03 0:00:00,Structuring,2635231,Low,Under Review
A000086,C00803,B008,2024-09-08 0:00:00,CTR,7411029,Low,Closed
A000087,C00077,B001,2023-09-06 0:00:00,Suspicious Activity,4565226,Medium,Under Review
A000088,C00979,B003,2025-03-14 0:00:00,Suspicious Activity,5588006,Low,Closed
A000089,C02548,B008,2024-04-25 0:00:00,Suspicious Activity,1765217,Low,Open
A000090,C02037,B002,2025-04-18 0:00:00,Structuring,7760092,Medium,Open
A000091,C01988,B007,2024-02-19 0:00:00,Structuring,1928761,Medium,Closed
A000092,C00380,B001,2025-07-12 0:00:00,Structuring,1917545,Medium,Closed
A000093,C01769,B004,2025-11-12 0:00:00,Structuring,1017716,Low,Open
A000094,C00882,B005,2025-09-22 0:00:00,Structuring,9926020,Low,Under Review
A000095,C02128,B008,2024-12-23 0:00:00,CTR,8487040,High,Under Review
A000096,C00389,B008,2023-01-18 0:00:00,CTR,1654305,Low,Open
A000097,C02013,B004,2024-05-12 0:00:00,CTR,6590104,Low,Closed
A000098,C02259,B008,2024-02-29 0:00:00,Suspicious Activity,4306426,High,Closed
A000099,C02679,B001,2023-12-22 0:00:00,Structuring,4653241,High,Closed
A000100,C02015,B008,2023-10-13 0:00:00,Structuring,2900508,High,Closed
A000101,C02368,B004,2025-08-29 0:00:00,CTR,1690732,Low,Under Review
A000102,C01888,B006,2023-01-24 0:00:00,IFTR,7615573,Low,Open
A000103,C00928,B004,2023-11-06 0:00:00,Suspicious Activity,2165522,High,Under Review
A000104,C01126,B008,2024-05-27 0:00:00,CTR,8882635,Medium,Closed
A000105,C00129,B005,2025-06-06 0:00:00,Suspicious Activity,7100951,High,Closed
A000106,C01911,B005,2023-04-12 0:00:00,IFTR,5846472,Low,Closed
A000107,C00405,B005,2025-03-24 0:00:00,Structuring,5256847,Low,Under Review
A000108,C00677,B006,2025-09-22 0:00:00,Structuring,9595628,Low,Open
A000109,C00547,B004,2023-02-22 0:00:00,IFTR,8010293,Low,Open
A000110,C00584,B007,2025-01-24 0:00:00,Suspicious Activity,6664188,Low,Closed
A000111,C00899,B004,2024-05-19 0:00:00,Structuring,8085477,High,Closed
A000112,C00654,B001,2023-10-06 0:00:00,Suspicious Activity,9692027,Low,Under Review
A000113,C00551,B003,2023-09-28 0:00:00,CTR,2078259,Low,Closed
A000114,C02619,B007,2024-07-04 0:00:00,Structuring,5626992,High,Open
A000115,C00978,B006,2023-08-17 0:00:00,CTR,4156515,Medium,Closed
A000116,C02998,B001,2023-11-25 0:00:00,Structuring,5718405,High,Open
A000117,C02990,B007,2023-12-03 0:00:00,Suspicious Activity,7895669,Low,Closed
A000118,C02133,B005,2024-12-11 0:00:00,IFTR,8097224,Low,Open
A000119,C00869,B005,2025-06-22 0:00:00,Structuring,5853834,Medium,Closed
A000120,C02701,B003,2025-03-28 0:00:00,CTR,5759970,High,Under Review
A000121,C02712,B007,2023-10-28 0:00:00,Suspicious Activity,3080213,Medium,Closed
A000122,C02655,B004,2025-05-28 0:00:00,Suspicious Activity,4929265,Low,Open
A000123,C02526,B006,2025-12-29 0:00:00,CTR,5045956,Low,Open
A000124,C01161,B007,2024-09-07 0:00:00,Suspicious Activity,5151298,Low,Closed
A000125,C02840,B006,2025-07-14 0:00:00,Structuring,7282328,Medium,Under Review
A000126,C02991,B004,2025-12-26 0:00:00,IFTR,1889347,Low,Under Review
A000127,C00076,B001,2025-12-09 0:00:00,Suspicious Activity,8197419,High,Closed
A000128,C02285,B005,2024-10-29 0:00:00,Structuring,1737324,Low,Under Review
A000129,C00763,B001,2025-05-07 0:00:00,CTR,5889179,Low,Under Review
A000130,C01086,B006,2024-05-13 0:00:00,Structuring,7976676,Low,Open
A000131,C02298,B001,2024-10-29 0:00:00,Suspicious Activity,9108717,Medium,Open
A000132,C02825,B005,2024-09-29 0:00:00,IFTR,636948,Medium,Under Review
A000133,C00003,B007,2023-01-17 0:00:00,IFTR,3806358,High,Open
A000134,C00932,B001,2024-02-04 0:00:00,Suspicious Activity,6035022,High,Closed
A000135,C02884,B007,2025-09-08 0:00:00,IFTR,6521101,High,Open
A000136,C00922,B004,2025-11-01 0:00:00,IFTR,9300724,Low,Closed
A000137,C00770,B007,2025-03-20 0:00:00,CTR,4727611,Low,Open
A000138,C02569,B007,2023-03-04 0:00:00,Suspicious Activity,2350764,Low,Under Review
A000139,C01655,B003,2024-06-03 0:00:00,IFTR,1413968,Medium,Closed
A000140,C00316,B003,2024-10-28 0:00:00,Suspicious Activity,829482,Low,Closed
A000141,C00211,B003,2025-09-10 0:00:00,CTR,8576671,Low,Closed
A000142,C02149,B007,2025-10-29 0:00:00,CTR,3451893,High,Open
A000143,C02063,B006,2023-08-29 0:00:00,CTR,6246407,High,Under Review
A000144,C01758,B006,2023-03-09 0:00:00,Suspicious Activity,3057411,Low,Closed
A000145,C00173,B008,2023-01-05 0:00:00,Structuring,8087390,High,Open
A000146,C01172,B003,2024-03-22 0:00:00,Suspicious Activity,1903444,High,Closed
A000147,C02728,B003,2023-09-07 0:00:00,Structuring,4270472,Low,Open
A000148,C02490,B002,2024-08-14 0:00:00,IFTR,4974885,Low,Closed
A000149,C01601,B002,2025-02-15 0:00:00,CTR,9325742,Medium,Closed
A000150,C00804,B006,2023-10-10 0:00:00,CTR,9780956,High,Closed
A000151,C01845,B006,2023-10-22 0:00:00,Suspicious Activity,1116366,Low,Under Review
A000152,C00587,B001,2024-10-16 0:00:00,Structuring,9527528,Medium,Under Review
A000153,C01284,B003,2023-05-11 0:00:00,CTR,9439057,High,Under Review
A000154,C00464,B003,2024-04-11 0:00:00,CTR,7449966,Low,Open
A000155,C00476,B007,2024-05-19 0:00:00,Suspicious Activity,9134058,High,Closed
A000156,C02454,B006,2024-09-02 0:00:00,CTR,3062240,Medium,Under Review
A000157,C00052,B004,2024-03-20 0:00:00,Suspicious Activity,1470486,High,Closed
A000158,C02839,B005,2024-06-14 0:00:00,Suspicious Activity,8628142,Low,Closed
A000159,C00196,B002,2024-12-31 0:00:00,IFTR,1690357,High,Under Review
A000160,C01722,B002,2024-02-14 0:00:00,Suspicious Activity,1747065,Low,Closed
A000161,C01036,B005,2024-10-07 0:00:00,Suspicious Activity,848286,Medium,Open
A000162,C01324,B006,2025-09-20 0:00:00,Structuring,1108493,High,Under Review
A000163,C02762,B008,2024-04-11 0:00:00,Suspicious Activity,1341045,Low,Closed
A000164,C01927,B003,2025-11-16 0:00:00,Structuring,9192700,High,Under Review
A000165,C02438,B008,2024-04-16 0:00:00,Structuring,3274362,Medium,Closed
A000166,C01881,B005,2024-12-08 0:00:00,IFTR,7295941,Medium,Open
A000167,C00347,B006,2023-06-02 0:00:00,CTR,1509690,Medium,Closed
A000168,C00742,B005,2025-12-15 0:00:00,Suspicious Activity,6227726,High,Closed
A000169,C02759,B008,2024-03-22 0:00:00,Structuring,4105170,High,Open
A000170,C01246,B003,2023-12-07 0:00:00,CTR,3249914,Medium,Open
A000171,C00932,B002,2024-11-05 0:00:00,IFTR,9741898,Medium,Open
A000172,C00550,B001,2023-02-20 0:00:00,IFTR,3903279,High,Closed
A000173,C01315,B006,2023-02-14 0:00:00,IFTR,9752251,Medium,Under Review
A000174,C00953,B004,2025-05-15 0:00:00,Suspicious Activity,1908934,Medium,Open
A000175,C02565,B004,2025-04-22 0:00:00,Structuring,2831117,Low,Closed
A000176,C02532,B008,2023-06-16 0:00:00,Suspicious Activity,5540397,High,Closed
A000177,C00448,B005,2025-10-02 0:00:00,IFTR,5490893,Medium,Closed
A000178,C02821,B007,2024-08-22 0:00:00,Suspicious Activity,3337808,High,Under Review
A000179,C00532,B002,2023-02-07 0:00:00,CTR,6107910,Medium,Closed
A000180,C01354,B002,2023-07-28 0:00:00,CTR,8991690,Low,Open
A000181,C00546,B001,2023-03-06 0:00:00,Structuring,4420045,Low,Under Review
A000182,C02014,B005,2024-07-16 0:00:00,CTR,1885850,High,Closed
A000183,C00296,B005,2023-11-30 0:00:00,Suspicious Activity,960121,Low,Open
A000184,C02885,B004,2024-09-29 0:00:00,Structuring,5793800,Medium,Under Review
A000185,C02987,B006,2023-09-01 0:00:00,CTR,9592670,Medium,Open
A000186,C00743,B005,2025-04-23 0:00:00,IFTR,8782844,Low,Under Review
A000187,C00145,B007,2025-11-15 0:00:00,CTR,2526167,High,Under Review
A000188,C00439,B001,2024-10-10 0:00:00,CTR,8961717,Medium,Closed
A000189,C02854,B007,2023-12-02 0:00:00,IFTR,8156751,Medium,Closed
A000190,C00574,B002,2024-12-17 0:00:00,Suspicious Activity,2910765,Medium,Open
A000191,C00361,B008,2024-04-29 0:00:00,Suspicious Activity,6943339,Low,Open
A000192,C00864,B005,2025-10-25 0:00:00,IFTR,8296115,Low,Under Review
A000193,C02069,B006,2023-06-06 0:00:00,Structuring,1657622,Low,Open
A000194,C01046,B001,2025-11-05 0:00:00,Suspicious Activity,6208026,Low,Closed
A000195,C01969,B003,2024-09-28 0:00:00,Suspicious Activity,320278,Medium,Closed
A000196,C01594,B001,2023-02-08 0:00:00,Suspicious Activity,4166832,High,Open
A000197,C00653,B004,2024-09-08 0:00:00,Structuring,6847204,Medium,Open
A000198,C02878,B006,2023-02-28 0:00:00,Suspicious Activity,5974125,Medium,Closed
A000199,C00078,B005,2025-10-14 0:00:00,IFTR,8166877,Medium,Open
A000200,C02137,B005,2025-05-30 0:00:00,CTR,2242760,High,Open
A000201,C02261,B006,2024-04-12 0:00:00,IFTR,2357308,Low,Open
A000202,C00919,B008,2025-10-08 0:00:00,Structuring,6235001,High,Open
A000203,C01105,B005,2024-03-25 0:00:00,IFTR,7023477,Low,Open
A000204,C00072,B007,2025-11-11 0:00:00,CTR,5896188,High,Open
A000205,C01666,B004,2024-05-12 0:00:00,Structuring,2385564,High,Closed
A000206,C01543,B008,2023-11-03 0:00:00,Structuring,6689321,Low,Under Review
A000207,C02715,B007,2025-10-11 0:00:00,Structuring,1704294,Medium,Closed
A000208,C00059,B005,2025-05-22 0:00:00,IFTR,7837196,Low,Under Review
A000209,C00519,B002,2025-08-13 0:00:00,IFTR,5077016,Low,Open
A000210,C02539,B007,2023-06-05 0:00:00,CTR,9442018,Medium,Open
A000211,C01855,B005,2023-02-20 0:00:00,CTR,7593787,High,Open
A000212,C02548,B006,2024-04-07 0:00:00,Suspicious Activity,5649031,Low,Open
A000213,C00385,B005,2023-03-05 0:00:00,Suspicious Activity,7841821,High,Under Review
A000214,C01295,B005,2023-07-11 0:00:00,IFTR,7986352,High,Under Review
A000215,C00072,B008,2024-01-21 0:00:00,Suspicious Activity,1053566,Medium,Open
A000216,C01923,B008,2025-03-29 0:00:00,Structuring,689930,High,Under Review
A000217,C00964,B004,2025-05-12 0:00:00,Structuring,9888213,Low,Closed
A000218,C01611,B008,2024-02-13 0:00:00,IFTR,3258081,High,Closed
A000219,C01392,B006,2024-09-22 0:00:00,CTR,6401880,Low,Under Review
A000220,C02267,B005,2024-05-27 0:00:00,Suspicious Activity,410852,Low,Closed
A000221,C00181,B004,2024-11-13 0:00:00,IFTR,3532780,High,Open
A000222,C00913,B007,2023-03-25 0:00:00,IFTR,2855056,Medium,Open
A000223,C02346,B007,2025-05-18 0:00:00,CTR,2733177,Medium,Closed
A000224,C00325,B008,2023-05-01 0:00:00,IFTR,4478584,High,Closed
A000225,C00007,B001,2024-10-27 0:00:00,IFTR,7825598,Medium,Open
A000226,C02202,B005,2023-09-16 0:00:00,CTR,6993015,Low,Closed
A000227,C00016,B003,2023-09-18 0:00:00,CTR,374050,Low,Closed
A000228,C01943,B003,2025-09-05 0:00:00,CTR,9463007,Medium,Under Review
A000229,C01209,B005,2024-06-18 0:00:00,Structuring,9915529,High,Open
A000230,C02540,B004,2024-02-23 0:00:00,Structuring,3324683,Medium,Closed
A000231,C00578,B004,2024-11-13 0:00:00,Structuring,2754049,High,Closed
A000232,C00063,B002,2024-05-06 0:00:00,IFTR,4120884,Medium,Closed
A000233,C00633,B004,2024-01-03 0:00:00,IFTR,5226051,High,Open
A000234,C02411,B003,2024-10-01 0:00:00,IFTR,5308883,Medium,Open
A000235,C01963,B005,2024-01-30 0:00:00,Suspicious Activity,6321547,Medium,Under Review
A000236,C01050,B003,2024-08-12 0:00:00,Structuring,4569588,Low,Under Review
A000237,C02706,B006,2025-10-23 0:00:00,IFTR,8374429,Medium,Closed
A000238,C02198,B008,2024-06-08 0:00:00,CTR,489027,High,Closed
A000239,C02084,B007,2025-01-14 0:00:00,IFTR,654552,Low,Open
A000240,C01351,B005,2025-04-08 0:00:00,Structuring,6205296,Low,Closed
A000241,C02628,B004,2024-06-21 0:00:00,Structuring,5882292,High,Open
A000242,C01390,B007,2025-08-28 0:00:00,Structuring,6693900,High,Under Review
A000243,C00544,B002,2024-12-03 0:00:00,IFTR,6182671,Low,Closed
A000244,C01462,B004,2025-04-01 0:00:00,Structuring,155852,High,Under Review
A000245,C01142,B008,2024-04-08 0:00:00,CTR,4793741,Medium,Closed
A000246,C00414,B003,2023-10-10 0:00:00,IFTR,4569439,High,Under Review
A000247,C01409,B001,2025-03-26 0:00:00,Structuring,8770947,High,Closed
A000248,C02953,B002,2023-04-12 0:00:00,IFTR,4752964,Medium,Open
A000249,C00509,B008,2023-06-08 0:00:00,CTR,4564042,High,Under Review
A000250,C02898,B007,2025-10-10 0:00:00,Structuring,1740280,Low,Closed
A000251,C01680,B003,2023-04-23 0:00:00,IFTR,3838568,Medium,Under Review
A000252,C01284,B001,2025-11-25 0:00:00,CTR,3586113,Medium,Closed
A000253,C00452,B001,2023-09-09 0:00:00,IFTR,3868879,Medium,Open
A000254,C02121,B007,2025-01-18 0:00:00,Structuring,8423612,High,Closed
A000255,C00119,B007,2024-12-24 0:00:00,Suspicious Activity,3203088,High,Open
A000256,C01109,B003,2025-10-02 0:00:00,Suspicious Activity,9608755,Low,Closed
A000257,C00027,B003,2025-06-16 0:00:00,CTR,5874813,Low,Under Review
A000258,C01334,B004,2023-11-24 0:00:00,IFTR,4809147,Low,Open
A000259,C01277,B002,2023-06-26 0:00:00,IFTR,1038223,Low,Open
A000260,C00483,B003,2025-05-13 0:00:00,IFTR,4053479,Low,Open
A000261,C02150,B008,2025-07-05 0:00:00,Suspicious Activity,4032905,High,Closed
A000262,C02523,B001,2025-07-09 0:00:00,IFTR,6606642,Low,Open
A000263,C02336,B003,2024-12-18 0:00:00,Suspicious Activity,5817655,Medium,Under Review
A000264,C02555,B001,2024-10-21 0:00:00,Structuring,3926789,Low,Open
A000265,C00353,B003,2023-04-21 0:00:00,Suspicious Activity,9809118,Low,Under Review
A000266,C02863,B004,2024-07-31 0:00:00,Structuring,3625493,Medium,Closed
A000267,C02429,B008,2024-10-14 0:00:00,CTR,2925845,Medium,Under Review
A000268,C02121,B002,2024-02-29 0:00:00,Structuring,2977284,Medium,Closed
A000269,C02449,B002,2025-03-02 0:00:00,Suspicious Activity,8964036,High,Closed
A000270,C01422,B003,2023-04-06 0:00:00,Structuring,8193535,High,Closed
A000271,C01658,B005,2025-04-10 0:00:00,CTR,4013141,Medium,Closed
A000272,C02972,B003,2024-12-24 0:00:00,IFTR,9694571,High,Open
A000273,C01003,B004,2024-08-05 0:00:00,CTR,7500881,Medium,Under Review
A000274,C02650,B005,2025-09-18 0:00:00,Suspicious Activity,3039284,High,Open
A000275,C00240,B001,2023-03-22 0:00:00,Suspicious Activity,6801259,Medium,Open
A000276,C01839,B001,2025-04-18 0:00:00,IFTR,9513880,Low,Closed
A000277,C00603,B002,2024-05-11 0:00:00,Structuring,6763460,Medium,Closed
A000278,C01188,B001,2024-12-07 0:00:00,CTR,6965966,Medium,Open
A000279,C00824,B008,2024-05-29 0:00:00,Structuring,2284136,Medium,Open
A000280,C01743,B002,2024-04-21 0:00:00,CTR,1303096,High,Open
A000281,C00247,B001,2023-04-28 0:00:00,IFTR,3320373,Low,Under Review
A000282,C00831,B005,2025-03-24 0:00:00,Structuring,9566214,High,Under Review
A000283,C02004,B005,2023-03-15 0:00:00,IFTR,2017059,Low,Under Review
A000284,C02737,B004,2023-10-21 0:00:00,Structuring,195936,High,Closed
A000285,C01078,B006,2024-01-17 0:00:00,Suspicious Activity,1008800,Medium,Closed
A000286,C00821,B007,2025-06-22 0:00:00,Suspicious Activity,4231200,High,Under Review
A000287,C02197,B005,2023-03-02 0:00:00,Suspicious Activity,1850126,High,Open
A000288,C02179,B001,2024-03-06 0:00:00,Suspicious Activity,1848872,Low,Under Review
A000289,C01682,B005,2023-09-29 0:00:00,Suspicious Activity,280722,High,Open
A000290,C01341,B004,2025-05-16 0:00:00,CTR,8220245,Medium,Under Review
A000291,C01875,B001,2025-06-24 0:00:00,Structuring,3628810,Low,Open
A000292,C00542,B005,2024-02-10 0:00:00,CTR,8277422,High,Closed
A000293,C02924,B004,2023-02-23 0:00:00,CTR,3356749,Low,Closed
A000294,C00704,B008,2025-02-16 0:00:00,Structuring,6656218,Medium,Open
A000295,C00465,B006,2024-08-09 0:00:00,Suspicious Activity,2254466,High,Open
A000296,C00565,B006,2023-07-29 0:00:00,Structuring,9458117,Medium,Open
A000297,C00657,B007,2025-02-11 0:00:00,Suspicious Activity,5338943,High,Open
A000298,C02996,B005,2025-03-28 0:00:00,Structuring,8371852,Medium,Closed
A000299,C01818,B005,2023-02-25 0:00:00,Suspicious Activity,7624557,High,Closed
A000300,C01824,B008,2023-11-22 0:00:00,CTR,1676230,Low,Open
A000301,C01524,B003,2025-03-04 0:00:00,Suspicious Activity,5992903,Low,Closed
A000302,C00751,B002,2024-01-10 0:00:00,IFTR,7955324,Medium,Closed
A000303,C02057,B006,2025-09-17 0:00:00,IFTR,5659888,Medium,Under Review
A000304,C01745,B002,2024-01-15 0:00:00,CTR,2047348,Medium,Open
A000305,C00213,B005,2023-09-09 0:00:00,IFTR,4345938,High,Under Review
A000306,C00588,B003,2023-02-09 0:00:00,Structuring,4487060,Low,Open
A000307,C00579,B006,2025-04-23 0:00:00,Suspicious Activity,7402080,High,Under Review
A000308,C00460,B005,2023-05-06 0:00:00,CTR,7844111,Medium,Open
A000309,C01478,B002,2025-04-17 0:00:00,Structuring,6095881,Low,Open
A000310,C02941,B004,2024-12-15 0:00:00,CTR,5426279,Low,Open
A000311,C02389,B001,2025-03-30 0:00:00,CTR,9762494,Low,Open
A000312,C02055,B007,2025-10-20 0:00:00,Structuring,1880727,High,Open
A000313,C01806,B002,2024-03-24 0:00:00,IFTR,8575137,Medium,Under Review
A000314,C00563,B007,2024-03-13 0:00:00,Suspicious Activity,4493377,Low,Closed
A000315,C02466,B007,2023-09-09 0:00:00,IFTR,9325160,Medium,Open
A000316,C02254,B001,2025-08-08 0:00:00,CTR,4949011,Medium,Closed
A000317,C02635,B003,2023-12-12 0:00:00,Structuring,6842317,High,Closed
A000318,C02544,B005,2025-11-06 0:00:00,Suspicious Activity,9363284,High,Under Review
A000319,C00747,B006,2025-12-23 0:00:00,Suspicious Activity,2137201,Low,Open
A000320,C01430,B001,2023-12-25 0:00:00,IFTR,7781686,Medium,Open
A000321,C01906,B003,2024-06-01 0:00:00,Structuring,2252142,Low,Under Review
A000322,C01754,B006,2024-12-21 0:00:00,CTR,6950881,Medium,Open
A000323,C01842,B008,2024-06-11 0:00:00,CTR,5539255,High,Closed
A000324,C01630,B005,2025-03-28 0:00:00,CTR,7348395,Medium,Closed
A000325,C02104,B006,2024-08-22 0:00:00,Suspicious Activity,5688741,Medium,Open
A000326,C02240,B007,2025-07-27 0:00:00,Suspicious Activity,8966934,Medium,Closed
A000327,C02235,B001,2024-06-21 0:00:00,Suspicious Activity,2057619,Low,Under Review
A000328,C00001,B008,2023-07-30 0:00:00,Structuring,5345806,Low,Under Review
A000329,C00584,B003,2023-09-16 0:00:00,Suspicious Activity,5872080,Medium,Open
A000330,C01657,B003,2023-02-14 0:00:00,IFTR,5090624,Medium,Closed
A000331,C01731,B006,2024-10-27 0:00:00,Structuring,6779168,Medium,Open
A000332,C00053,B001,2023-09-20 0:00:00,Suspicious Activity,711083,High,Open
A000333,C01571,B006,2023-07-09 0:00:00,Structuring,9217985,High,Under Review
A000334,C01064,B004,2024-09-13 0:00:00,CTR,5447977,High,Under Review
A000335,C02991,B003,2024-05-01 0:00:00,CTR,1836407,Medium,Under Review
A000336,C00499,B006,2025-03-16 0:00:00,Structuring,7559019,Medium,Under Review
A000337,C00912,B003,2025-11-04 0:00:00,IFTR,6252605,Low,Closed
A000338,C02962,B005,2024-11-13 0:00:00,CTR,9898452,High,Under Review
A000339,C01465,B005,2025-11-01 0:00:00,Structuring,8547256,Low,Open
A000340,C02972,B007,2025-10-24 0:00:00,CTR,3645573,Low,Closed
A000341,C01458,B003,2023-12-20 0:00:00,CTR,237484,Medium,Closed
